Metric,Bootstrap_Model_Seed,Model_Name,Model_Params,Run_Number,Dataset_Name,Num_Estimators,Test_Set_Index,Tag,Record_Create_Date_Time,Session_Uuid,Experiment_Iteration,Dataset_Split_Seed,Model_Init_Seed,Fair_Intervention_Params_Lst,Intervention_Param,RAC1P_dis,RAC1P_dis_correct,RAC1P_dis_incorrect,RAC1P_priv,RAC1P_priv_correct,RAC1P_priv_incorrect,SEX&RAC1P_dis,SEX&RAC1P_dis_correct,SEX&RAC1P_dis_incorrect,SEX&RAC1P_priv,SEX&RAC1P_priv_correct,SEX&RAC1P_priv_incorrect,SEX_dis,SEX_dis_correct,SEX_dis_incorrect,SEX_priv,SEX_priv_correct,SEX_priv_incorrect,overall
Accuracy,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.7106382978723405,1.0,0.0,0.6943396226415094,1.0,0.0,0.7309523809523809,1.0,0.0,0.6907407407407408,1.0,0.0,0.7137767220902613,1.0,0.0,0.6869300911854104,1.0,0.0,0.702
Accuracy,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.7078014184397163,1.0,0.0,0.7069182389937106,1.0,0.0,0.7261904761904762,1.0,0.0,0.7,1.0,0.0,0.7173396674584323,1.0,0.0,0.6945288753799392,1.0,0.0,0.7073333333333334
Aleatoric_Uncertainty,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.8135845655489112,0.7866469125149843,0.8797402722645846,0.7863084864764371,0.7565593407316595,0.8538867928596355,0.8043374515789166,0.7763233060898863,0.8804466787039809,0.7971024405533379,0.768632177324783,0.860691711117715,0.79332014755367,0.7625311455668369,0.8701010197283034,0.8065604881771425,0.7819682317880847,0.8605201963706094,0.7991282436405
Aleatoric_Uncertainty,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.8148785905804831,0.7881025075981596,0.8797391022706743,0.7900820491165612,0.7635308789915832,0.8541239272720874,0.8053079922995199,0.7766991635658756,0.8811835815496201,0.8003474802232484,0.774436852377195,0.8608056118640398,0.7956992195010564,0.7657742495399613,0.871643260914928,0.8094618428374122,0.7873957517781504,0.8596320100716537,0.8017364236046045
F1,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.5363636363636364,1.0,0.0,0.5244618395303327,1.0,0.0,0.5461847389558233,1.0,0.0,0.5242165242165242,1.0,0.0,0.52465483234714,1.0,0.0,0.536036036036036,1.0,0.0,0.5299684542586751
F1,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.5275229357798165,1.0,0.0,0.5458089668615984,1.0,0.0,0.5344129554655871,1.0,0.0,0.5384615384615384,1.0,0.0,0.5258964143426295,1.0,0.0,0.5503355704697986,1.0,0.0,0.5374077976817703
FNR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.5645756457564576,0.0,1.0,0.564935064935065,0.0,1.0,0.5584415584415584,0.0,1.0,0.5670588235294117,0.0,1.0,0.5667752442996743,0.0,1.0,0.5625,0.0,1.0,0.5647668393782384
FNR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.5756457564575646,0.0,1.0,0.5454545454545454,0.0,1.0,0.5714285714285714,0.0,1.0,0.5552941176470588,0.0,1.0,0.5700325732899023,0.0,1.0,0.5477941176470589,0.0,1.0,0.5595854922279793
FPR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.1175115207373272,0.0,1.0,0.14168377823408623,0.0,1.0,0.10150375939849623,0.0,1.0,0.14198473282442747,0.0,1.0,0.1252336448598131,0.0,1.0,0.13730569948186527,0.0,1.0,0.13029315960912052
FPR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.1152073732718894,0.0,1.0,0.13347022587268995,0.0,1.0,0.10150375939849623,0.0,1.0,0.13435114503816795,0.0,1.0,0.11775700934579439,0.0,1.0,0.13471502590673576,0.0,1.0,0.1248642779587405
