Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name
Mean,0.5262502923533383,0.617604248999088,0.5041103922721332,0.5982980785206223,0.48196403847069597,0.6699132917418699,0.4637677975611076,562,DecisionTreeClassifier
Std,0.09597333678111225,0.11332078663742931,0.09176913128652246,0.09565677630591436,0.09616791982549995,0.11093997383354033,0.0922793658209309,562,DecisionTreeClassifier
IQR,0.12287180418778519,0.14952052426911805,0.1164134084974857,0.12128386656924349,0.1238478759349622,0.1401214206285093,0.11699805007787474,562,DecisionTreeClassifier
Entropy,0.24679162566228785,0.26212437654604703,0.0,0.2162895287691183,0.26554062100029113,0.0,0.0,562,DecisionTreeClassifier
Jitter,0.15658191766146282,0.1652260468765356,0.15448698752228174,0.13710035680184865,0.16855682204306055,0.14680345117845112,0.1659792780748663,562,DecisionTreeClassifier
Per_Sample_Accuracy,0.6529829545454545,0.635873786407767,0.6571294117647059,0.6608955223880597,0.6481192660550459,0.6182291666666667,0.6474816176470588,562,DecisionTreeClassifier
Label_Stability,0.7832386363636363,0.7733009708737864,0.7856470588235294,0.8114427860696518,0.7659021406727828,0.7964583333333334,0.7684926470588236,562,DecisionTreeClassifier
TPR,0.6232179226069247,0.36619718309859156,0.6666666666666666,0.44,0.7038123167155426,0.16129032258064516,0.7275747508305648,562,DecisionTreeClassifier
TNR,0.7115044247787611,0.8074074074074075,0.6813953488372093,0.8095238095238095,0.6325878594249201,0.8615384615384616,0.5967078189300411,562,DecisionTreeClassifier
PPV,0.652452025586354,0.5,0.6714628297362111,0.5789473684210527,0.676056338028169,0.35714285714285715,0.6908517350157729,562,DecisionTreeClassifier
FNR,0.37678207739307534,0.6338028169014085,0.3333333333333333,0.56,0.2961876832844575,0.8387096774193549,0.2724252491694352,562,DecisionTreeClassifier
FPR,0.2884955752212389,0.1925925925925926,0.3186046511627907,0.19047619047619047,0.36741214057507987,0.13846153846153847,0.40329218106995884,562,DecisionTreeClassifier
Accuracy,0.6704545454545454,0.6553398058252428,0.6741176470588235,0.6716417910447762,0.6697247706422018,0.6354166666666666,0.6691176470588235,562,DecisionTreeClassifier
F1,0.6375,0.42276422764227645,0.6690561529271206,0.5,0.6896551724137931,0.2222222222222222,0.7087378640776699,562,DecisionTreeClassifier
Selection-Rate,0.4441287878787879,0.2524271844660194,0.49058823529411766,0.2835820895522388,0.5428134556574924,0.14583333333333334,0.5827205882352942,562,DecisionTreeClassifier
Positive-Rate,0.955193482688391,0.7323943661971831,0.9928571428571429,0.76,1.0410557184750733,0.45161290322580644,1.053156146179402,562,DecisionTreeClassifier
