Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5320762498189977,0.5731985621062526,0.5219896449183503,0.5844282273292665,0.496536831064014,0.6032183470789158,0.48527540463887836,103,RandomForestClassifier,Run_1
Std,0.04034024182377676,0.03880509879596959,0.04071678634003135,0.039310921594048545,0.04103900134379893,0.03977072323585824,0.04170598837808989,103,RandomForestClassifier,Run_1
IQR,0.05474378295544844,0.05269141053924241,0.05524719505753671,0.053388017941608384,0.055664151255781835,0.053773887369960034,0.056514451643159984,103,RandomForestClassifier,Run_1
Entropy,0.0,0.0,0.09505521368727379,0.09236632532638754,0.0,0.09433881099034816,0.09714842507078252,103,RandomForestClassifier,Run_1
Jitter,0.06061122589531685,0.06594308469308462,0.059303411473222795,0.05668724717905094,0.06327503974562793,0.057792663476874784,0.061190196539031155,103,RandomForestClassifier,Run_1
Per_Sample_Accuracy,0.6753314393939394,0.6995673076923077,0.6693867924528302,0.6727634660421545,0.6770747217806041,0.7171578947368421,0.6753875968992248,103,RandomForestClassifier,Run_1
Label_Stability,0.9175189393939394,0.9122115384615385,0.9188207547169812,0.9239812646370023,0.9131319554848967,0.9248421052631579,0.9156589147286822,103,RandomForestClassifier,Run_1
TPR,0.5893536121673004,0.4868421052631579,0.6066666666666667,0.4887640449438202,0.6408045977011494,0.47058823529411764,0.6601307189542484,103,RandomForestClassifier,Run_1
TNR,0.7716981132075472,0.8257575757575758,0.7537688442211056,0.8192771084337349,0.7295373665480427,0.8688524590163934,0.7095238095238096,103,RandomForestClassifier,Run_1
PPV,0.7192575406032483,0.6166666666666667,0.7358490566037735,0.6590909090909091,0.745819397993311,0.6666666666666666,0.7680608365019012,103,RandomForestClassifier,Run_1
FNR,0.41064638783269963,0.5131578947368421,0.3933333333333333,0.5112359550561798,0.35919540229885055,0.5294117647058824,0.33986928104575165,103,RandomForestClassifier,Run_1
FPR,0.22830188679245284,0.17424242424242425,0.24623115577889448,0.18072289156626506,0.2704626334519573,0.13114754098360656,0.2904761904761905,103,RandomForestClassifier,Run_1
Accuracy,0.6808712121212122,0.7019230769230769,0.6757075471698113,0.6814988290398126,0.6804451510333863,0.7263157894736842,0.6802325581395349,103,RandomForestClassifier,Run_1
F1,0.6478578892371996,0.5441176470588235,0.6650426309378806,0.5612903225806452,0.6893353941267388,0.5517241379310345,0.7100175746924429,103,RandomForestClassifier,Run_1
