Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5268566927718544,0.5640138794381709,0.51822859458446,0.592181203955443,0.4825108004421368,0.5928340301814573,0.46994194232794656,101,DecisionTreeClassifier,Run_1
Std,0.06935457653461133,0.0754700122088169,0.06793453954608518,0.06847983918377856,0.06994839664400018,0.08639186879657564,0.07062064384868764,101,DecisionTreeClassifier,Run_1
IQR,0.08437456850590459,0.08998134690673405,0.08307264446650547,0.08458192034486908,0.08423380660568548,0.10551736884859393,0.08564151501778446,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.2147814460459906,0.0,0.0,0.20899984890043685,0.21225097379685412,0.20733104804893013,101,DecisionTreeClassifier,Run_1
Jitter,0.12591063698206587,0.13839401087067987,0.12301193055985525,0.11364144721120309,0.134239641802667,0.13657699443413732,0.1330407375305334,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6609469696969698,0.679497487437186,0.6566394399066511,0.6592505854800936,0.6620985691573927,0.6434090909090909,0.6522393822393823,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8249242424242424,0.8040201005025126,0.8297782963827305,0.838032786885246,0.8160254372019078,0.8059090909090908,0.8189189189189189,101,DecisionTreeClassifier,Run_1
TPR,0.62217659137577,0.5571428571428572,0.6330935251798561,0.4591194968553459,0.7012195121951219,0.44,0.7137809187279152,101,DecisionTreeClassifier,Run_1
TNR,0.7275922671353251,0.7596899224806202,0.7181818181818181,0.7910447761194029,0.6710963455149501,0.7301587301587301,0.6382978723404256,101,DecisionTreeClassifier,Run_1
PPV,0.6615720524017468,0.5571428571428572,0.6804123711340206,0.5658914728682171,0.6990881458966566,0.39285714285714285,0.7038327526132404,101,DecisionTreeClassifier,Run_1
FNR,0.37782340862423,0.44285714285714284,0.3669064748201439,0.5408805031446541,0.29878048780487804,0.56,0.2862190812720848,101,DecisionTreeClassifier,Run_1
FPR,0.27240773286467485,0.24031007751937986,0.2818181818181818,0.208955223880597,0.3289036544850498,0.2698412698412698,0.3617021276595745,101,DecisionTreeClassifier,Run_1
Accuracy,0.6789772727272727,0.6884422110552764,0.676779463243874,0.667447306791569,0.6868044515103339,0.6477272727272727,0.6795366795366795,101,DecisionTreeClassifier,Run_1
F1,0.6412698412698413,0.5571428571428572,0.6559006211180124,0.5069444444444444,0.700152207001522,0.41509433962264153,0.7087719298245614,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4337121212121212,0.35175879396984927,0.45274212368728123,0.30210772833723654,0.5230524642289348,0.3181818181818182,0.5540540540540541,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.9404517453798767,1.0,0.9304556354916067,0.8113207547169812,1.0030487804878048,1.12,1.0141342756183747,101,DecisionTreeClassifier,Run_1
Mean,0.5219608031921813,0.5577621304063369,0.5135960071141075,0.5885194226098213,0.47988587994362675,0.6000392763193887,0.4702942982809849,201,DecisionTreeClassifier,Run_2
Std,0.07080632617253386,0.07883123534076265,0.06893134739491032,0.06942003755059165,0.07168266627512176,0.08786804194606215,0.07164224281115854,201,DecisionTreeClassifier,Run_2
IQR,0.08685268002169064,0.09655828563013634,0.08458501515990424,0.08850944520978372,0.08580535859676004,0.1049824544615101,0.08490240341615704,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.19432113211193644,0.0,0.0,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.111236085343228,0.126677551020408,0.10762826625977488,0.10810239010029421,0.11321704570545377,0.13825005864414677,0.11225407016739199,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.6597537878787879,0.6622,0.6591822429906542,0.660244498777506,0.6594435857805254,0.6744827586206896,0.6608614232209737,201,DecisionTreeClassifier,Run_2
Label_Stability,0.8509469696969696,0.8268000000000001,0.856588785046729,0.8533007334963325,0.8494590417310665,0.8114942528735631,0.8517602996254682,201,DecisionTreeClassifier,Run_2
TPR,0.6463157894736842,0.6363636363636364,0.6482412060301508,0.47619047619047616,0.7225609756097561,0.5625,0.7279151943462897,201,DecisionTreeClassifier,Run_2
TNR,0.693631669535284,0.7235772357723578,0.6855895196506551,0.7748091603053435,0.6269592476489029,0.8,0.6175298804780877,201,DecisionTreeClassifier,Run_2
PPV,0.6329896907216495,0.5903614457831325,0.6417910447761194,0.5426356589147286,0.6657303370786517,0.6206896551724138,0.6821192052980133,201,DecisionTreeClassifier,Run_2
FNR,0.35368421052631577,0.36363636363636365,0.35175879396984927,0.5238095238095238,0.2774390243902439,0.4375,0.27208480565371024,201,DecisionTreeClassifier,Run_2
FPR,0.306368330464716,0.2764227642276423,0.314410480349345,0.22519083969465647,0.3730407523510972,0.2,0.38247011952191234,201,DecisionTreeClassifier,Run_2
Accuracy,0.6723484848484849,0.69,0.6682242990654206,0.6674816625916871,0.6754250386398764,0.7126436781609196,0.6760299625468165,201,DecisionTreeClassifier,Run_2
F1,0.6395833333333333,0.6125,0.645,0.5072463768115942,0.6929824561403509,0.5901639344262295,0.7042735042735043,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.45928030303030304,0.415,0.4696261682242991,0.3154034229828851,0.5502318392581144,0.3333333333333333,0.5655430711610487,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0210526315789474,1.077922077922078,1.0100502512562815,0.8775510204081632,1.0853658536585367,0.90625,1.0671378091872792,201,DecisionTreeClassifier,Run_2
Mean,0.5212981838807046,0.5716768464790614,0.5090150470634374,0.5879937230555468,0.47811776460214067,0.5956537531274785,0.462615286268274,301,DecisionTreeClassifier,Run_3
Std,0.07460577527999619,0.08433465249308877,0.07223371687821743,0.07269435292325405,0.0758432796139244,0.089738034655632,0.07501584585773385,301,DecisionTreeClassifier,Run_3
IQR,0.08717430179554331,0.093418670719473,0.08565182315331309,0.08575696591911146,0.08809192174674335,0.09946191483981444,0.08804941192913789,301,DecisionTreeClassifier,Run_3
Entropy,0.0,0.20619489460700946,0.0,0.0,0.0,0.0,0.0,301,DecisionTreeClassifier,Run_3
Jitter,0.11373608534322824,0.13183476289066373,0.10932333357371105,0.11843225965084829,0.11069566047948047,0.13973791621911924,0.10763936576520956,301,DecisionTreeClassifier,Run_3
Per_Sample_Accuracy,0.6589204545454546,0.6488888888888888,0.6613663133097762,0.6288192771084338,0.678408736349454,0.5840000000000001,0.6730056710775046,301,DecisionTreeClassifier,Run_3
Label_Stability,0.851780303030303,0.8222222222222222,0.8589870435806831,0.8419277108433735,0.8581591263650545,0.8113684210526314,0.8638185255198487,301,DecisionTreeClassifier,Run_3
TPR,0.632495164410058,0.46153846153846156,0.662870159453303,0.437125748502994,0.7257142857142858,0.29411764705882354,0.7450980392156863,301,DecisionTreeClassifier,Run_3
TNR,0.699443413729128,0.7364341085271318,0.6878048780487804,0.7620967741935484,0.6460481099656358,0.7213114754098361,0.6143497757847534,301,DecisionTreeClassifier,Run_3
PPV,0.6687116564417178,0.5142857142857142,0.6945107398568019,0.553030303030303,0.711484593837535,0.37037037037037035,0.7261146496815286,301,DecisionTreeClassifier,Run_3
FNR,0.36750483558994196,0.5384615384615384,0.33712984054669703,0.562874251497006,0.2742857142857143,0.7058823529411765,0.2549019607843137,301,DecisionTreeClassifier,Run_3
FPR,0.300556586270872,0.26356589147286824,0.3121951219512195,0.23790322580645162,0.3539518900343643,0.2786885245901639,0.38565022421524664,301,DecisionTreeClassifier,Run_3
Accuracy,0.6666666666666666,0.6328502415458938,0.6749116607773852,0.6313253012048192,0.6895475819032761,0.5684210526315789,0.6899810964083176,301,DecisionTreeClassifier,Run_3
F1,0.6500994035785288,0.4864864864864865,0.6783216783216783,0.4882943143812709,0.7185289957567186,0.32786885245901637,0.7354838709677419,301,DecisionTreeClassifier,Run_3
Selection-Rate,0.4630681818181818,0.33816425120772947,0.49352179034157834,0.3180722891566265,0.5569422776911076,0.28421052631578947,0.5935727788279773,301,DecisionTreeClassifier,Run_3
Positive-Rate,0.9458413926499033,0.8974358974358975,0.9544419134396356,0.7904191616766467,1.02,0.7941176470588235,1.026143790849673,301,DecisionTreeClassifier,Run_3
Mean,0.5264702127448236,0.5595432470410644,0.5181136809475528,0.5916608109866366,0.48476442629198674,0.5987327026741184,0.476231354387391,401,DecisionTreeClassifier,Run_4
Std,0.07196026087257498,0.07950632385277086,0.07005360439003441,0.07224776655358865,0.0717763286667091,0.0864721202226919,0.07144316516570558,401,DecisionTreeClassifier,Run_4
IQR,0.0810399429427318,0.08540912817819497,0.07993598510743685,0.07844535315679785,0.08269983578714919,0.09737223921951509,0.08437622197160084,401,DecisionTreeClassifier,Run_4
Entropy,0.17002752411937552,0.18904948277972433,0.165221264101992,0.16821063281905443,0.0,0.21514444867602933,0.0,401,DecisionTreeClassifier,Run_4
Jitter,0.1038698206555349,0.11491041487017344,0.10108020432372244,0.10359223300970867,0.10404740778298907,0.13231836734693875,0.10501402821015408,401,DecisionTreeClassifier,Run_4
Per_Sample_Accuracy,0.6639393939393939,0.6519248826291079,0.6669750889679715,0.6494660194174758,0.6731987577639752,0.6461999999999999,0.676647834274953,401,DecisionTreeClassifier,Run_4
Label_Stability,0.8737878787878788,0.8623474178403756,0.8766785290628707,0.873495145631068,0.8739751552795032,0.8388,0.872015065913371,401,DecisionTreeClassifier,Run_4
TPR,0.6298568507157464,0.5375,0.6479217603911981,0.4405594405594406,0.708092485549133,0.4117647058823529,0.72,401,DecisionTreeClassifier,Run_4
TNR,0.7125220458553791,0.7368421052631579,0.7050691244239631,0.7732342007434945,0.6577181208053692,0.7878787878787878,0.6493506493506493,401,DecisionTreeClassifier,Run_4
PPV,0.6539278131634819,0.5512820512820513,0.6743002544529262,0.5080645161290323,0.7060518731988472,0.5,0.7272727272727273,401,DecisionTreeClassifier,Run_4
FNR,0.37014314928425357,0.4625,0.35207823960880197,0.5594405594405595,0.29190751445086704,0.5882352941176471,0.28,401,DecisionTreeClassifier,Run_4
