Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.6338938207669101,0.6338938207669101,0.6338938207669101,0.6338938207669101,0.6338938207669101,0.6338938207669101,0.6338938207669101,101,AdaptiveRandomForest,Run_1
Std,0.04510816420670433,0.045108164206704326,0.04510816420670434,0.04510816420670434,0.04510816420670433,0.04510816420670433,0.04510816420670435,101,AdaptiveRandomForest,Run_1
IQR,0.04506696869284943,0.045066968692849436,0.04506696869284943,0.045066968692849436,0.04506696869284943,0.04506696869284943,0.04506696869284943,101,AdaptiveRandomForest,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,AdaptiveRandomForest,Run_1
Jitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,AdaptiveRandomForest,Run_1
Per_Sample_Accuracy,0.5388257575757576,0.6482412060301508,0.5134189031505251,0.6276346604215457,0.4785373608903021,0.7159090909090909,0.45366795366795365,101,AdaptiveRandomForest,Run_1
Label_Stability,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101,AdaptiveRandomForest,Run_1
TPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,AdaptiveRandomForest,Run_1
TNR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101,AdaptiveRandomForest,Run_1
PPV,,,,,,,,101,AdaptiveRandomForest,Run_1
FNR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101,AdaptiveRandomForest,Run_1
FPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,AdaptiveRandomForest,Run_1
Accuracy,0.5388257575757576,0.6482412060301508,0.5134189031505251,0.6276346604215457,0.4785373608903021,0.7159090909090909,0.45366795366795365,101,AdaptiveRandomForest,Run_1
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,AdaptiveRandomForest,Run_1
Selection-Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,AdaptiveRandomForest,Run_1
Positive-Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,AdaptiveRandomForest,Run_1
