Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.6040811284591533,0.6518379636404056,0.5929917349923283,0.6674027959269233,0.5610948772528931,0.6690864510616888,0.5445801751371768,101,HoeffdingTreeClassifier,Run_1
Std,0.22185723162681104,0.23402076594275092,0.21903279367013423,0.22815412677230992,0.21758255082056616,0.2323664867513774,0.21377904030434344,101,HoeffdingTreeClassifier,Run_1
IQR,0.27025434551130895,0.30192567726847624,0.26290009227948136,0.2978712449006912,0.25150646627559164,0.30650017203711893,0.24147948388066956,101,HoeffdingTreeClassifier,Run_1
Entropy,0.24782160929761063,0.0,0.24416370355989953,0.24253905140847629,0.0,0.0,0.0,101,HoeffdingTreeClassifier,Run_1
Jitter,0.16856060606060605,0.1820212171970966,0.16543497990405806,0.1635701275045537,0.17194841900724253,0.16843434343434346,0.16748176748176744,101,HoeffdingTreeClassifier,Run_1
Per_Sample_Accuracy,0.6285984848484848,0.6743718592964824,0.6179696616102685,0.6391100702576112,0.6214626391096979,0.6556818181818183,0.6069498069498069,101,HoeffdingTreeClassifier,Run_1
Label_Stability,0.8045454545454546,0.7849246231155779,0.8091015169194865,0.8121779859484777,0.7993640699523051,0.8068181818181818,0.8061776061776063,101,HoeffdingTreeClassifier,Run_1
TPR,0.4209445585215606,0.32857142857142857,0.4364508393285372,0.27672955974842767,0.49085365853658536,0.24,0.508833922261484,101,HoeffdingTreeClassifier,Run_1
TNR,0.8312829525483304,0.8914728682170543,0.8136363636363636,0.8694029850746269,0.7973421926910299,0.8412698412698413,0.7574468085106383,101,HoeffdingTreeClassifier,Run_1
PPV,0.6810631229235881,0.6216216216216216,0.6893939393939394,0.5569620253164557,0.7252252252252253,0.375,0.7164179104477612,101,HoeffdingTreeClassifier,Run_1
FNR,0.5790554414784395,0.6714285714285714,0.5635491606714629,0.7232704402515723,0.5091463414634146,0.76,0.4911660777385159,101,HoeffdingTreeClassifier,Run_1
FPR,0.1687170474516696,0.10852713178294573,0.18636363636363637,0.13059701492537312,0.2026578073089701,0.15873015873015872,0.2425531914893617,101,HoeffdingTreeClassifier,Run_1
Accuracy,0.6420454545454546,0.6934673366834171,0.6301050175029171,0.6487119437939111,0.6375198728139905,0.6704545454545454,0.6216216216216216,101,HoeffdingTreeClassifier,Run_1
F1,0.5203045685279187,0.42990654205607476,0.5345080763582967,0.3697478991596639,0.5854545454545454,0.2926829268292683,0.5950413223140496,101,HoeffdingTreeClassifier,Run_1
Selection-Rate,0.2850378787878788,0.18592964824120603,0.3080513418903151,0.18501170960187355,0.35294117647058826,0.18181818181818182,0.38803088803088803,101,HoeffdingTreeClassifier,Run_1
