Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5251169800758362,0.5797743201255798,0.5114688277244568,0.5917466282844543,0.48215019702911377,0.6159518361091614,0.4682779312133789,104,XGBClassifier,Run_1
Std,0.045362573117017746,0.04586739093065262,0.04523651674389839,0.04410504922270775,0.046173498034477234,0.046547990292310715,0.04636531323194504,104,XGBClassifier,Run_1
IQR,0.061048675356715015,0.06153367918814528,0.06092756789111527,0.05951269021356739,0.06203917044902516,0.061893540650907186,0.06221321064908549,104,XGBClassifier,Run_1
Entropy,0.11854871753541463,0.16631526379174447,0.10662121308560919,0.1255457321394959,0.11403662400567999,0.0,0.10689853744361512,104,XGBClassifier,Run_1
Jitter,0.07441403834260966,0.10715929973885306,0.06623741094070776,0.07987972000394362,0.07088943988810467,0.12186353329210668,0.06597150558336543,104,XGBClassifier,Run_1
Per_Sample_Accuracy,0.6957575757575758,0.7002843601895734,0.6946272189349113,0.6998550724637681,0.6931152647975078,0.6753535353535354,0.6869433962264152,104,XGBClassifier,Run_1
Label_Stability,0.9034090909090909,0.8544075829383886,0.9156449704142012,0.893623188405797,0.9097196261682242,0.8331313131313131,0.917433962264151,104,XGBClassifier,Run_1
TPR,0.6624203821656051,0.5333333333333333,0.6868686868686869,0.5578231292517006,0.7098765432098766,0.4411764705882353,0.7243816254416962,104,XGBClassifier,Run_1
TNR,0.7350427350427351,0.7941176470588235,0.7171492204899778,0.7902621722846442,0.6886792452830188,0.8153846153846154,0.6639676113360324,104,XGBClassifier,Run_1
PPV,0.6680942184154176,0.5882352941176471,0.681704260651629,0.5942028985507246,0.6990881458966566,0.5555555555555556,0.7118055555555556,104,XGBClassifier,Run_1
FNR,0.3375796178343949,0.4666666666666667,0.31313131313131315,0.4421768707482993,0.29012345679012347,0.5588235294117647,0.2756183745583039,104,XGBClassifier,Run_1
FPR,0.26495726495726496,0.20588235294117646,0.2828507795100223,0.20973782771535582,0.3113207547169811,0.18461538461538463,0.3360323886639676,104,XGBClassifier,Run_1
Accuracy,0.7026515151515151,0.7014218009478673,0.7029585798816568,0.7077294685990339,0.6993769470404985,0.6868686868686869,0.6962264150943396,104,XGBClassifier,Run_1
F1,0.6652452025586354,0.5594405594405595,0.6842767295597484,0.5754385964912281,0.7044410413476263,0.4918032786885246,0.7180385288966725,104,XGBClassifier,Run_1
Selection-Rate,0.4422348484848485,0.3222748815165877,0.47218934911242605,0.3333333333333333,0.5124610591900312,0.2727272727272727,0.5433962264150943,104,XGBClassifier,Run_1
Positive-Rate,0.9915074309978769,0.9066666666666666,1.0075757575757576,0.9387755102040817,1.0154320987654322,0.7941176470588235,1.017667844522968,104,XGBClassifier,Run_1
Mean,0.5269454121589661,0.5830398201942444,0.512938380241394,0.5946124792098999,0.4833095967769623,0.620212197303772,0.46917805075645447,204,XGBClassifier,Run_2
Std,0.046154044568538666,0.04682936519384384,0.04598541185259819,0.04482761025428772,0.047009408473968506,0.04754895344376564,0.0471818670630455,204,XGBClassifier,Run_2
IQR,0.06152787131511352,0.06376475286427268,0.060969312727098636,0.060271310345562185,0.06233817698706719,0.06427227412209366,0.062131513036646935,204,XGBClassifier,Run_2
Entropy,0.0,0.1625817094890915,0.0,0.0,0.10716906423887373,0.0,0.10003583620490222,204,XGBClassifier,Run_2
Jitter,0.06900510204081625,0.10342973208240655,0.06040912933220628,0.07634033323474337,0.06427490622417197,0.12031333745619653,0.059154408933384785,204,XGBClassifier,Run_2
