Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Model_Params,Run_Number
Mean,0.5194743634013634,0.5728331063011279,0.5061504642867477,0.5848110273086459,0.4773413745265738,0.6148579136692982,0.4650119065467602,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Std,0.07176211654559896,0.0764152028404196,0.07060022162464374,0.07123020797947015,0.07210512300413065,0.07873125252990641,0.07162693428261144,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
IQR,0.0876896489752056,0.0894268940322397,0.08725585168877463,0.08808426929205969,0.08743517419143991,0.09148007787940408,0.08739780169842046,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Entropy,0.1858586507074775,0.20897068175173417,0.18008748082542053,0.18319126499310479,0.18757874056067117,0.0,0.18601295516936994,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Jitter,0.11759121830550397,0.13378082986749218,0.11354860524091304,0.1183515725130633,0.11710089643333992,0.14790352504638474,0.11621409318444359,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Per_Sample_Accuracy,0.681439393939394,0.6855924170616114,0.6804023668639054,0.685024154589372,0.6791277258566978,0.6535353535353535,0.6717735849056604,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Label_Stability,0.8413636363636364,0.8128909952606634,0.8484733727810652,0.8359420289855072,0.8448598130841121,0.7862626262626261,0.8466415094339622,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
TPR,0.6666666666666666,0.5466666666666666,0.6893939393939394,0.5374149659863946,0.7253086419753086,0.38235294117647056,0.7314487632508834,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
TNR,0.7350427350427351,0.7941176470588235,0.7171492204899778,0.7902621722846442,0.6886792452830188,0.8,0.659919028340081,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
PPV,0.6695095948827292,0.5942028985507246,0.6825,0.5851851851851851,0.7035928143712575,0.5,0.711340206185567,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
