Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
Mean,0.5198933240166946,0.5739711003406017,0.5935358367058334,0.5269526210112546,0.5063898792778256,0.5114870777736662,0.4952948494692101,0.5792405011569999,0.603420772327997,0.5252127077593034,0.4816227144589278,0.47965954030387964,0.48596132934158404,0.6106974450400795,0.6413697673623646,0.5464772701777949,0.46896778786741994,0.46262347655117797,0.48240280006652037,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
Std,0.07142274030277646,0.07719356679615139,0.07598303725091489,0.08010274263873585,0.0699817410245491,0.06782808744577075,0.07466958095730349,0.07033067522505679,0.06739048111373179,0.07690017144254858,0.07212696918467044,0.07086031127366582,0.07492628316799067,0.07726747212566955,0.07634097015448481,0.07920733562783758,0.07107009691134296,0.06976008342479015,0.07384424311816065,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
IQR,0.08268341901459446,0.08828884227784296,0.08858371508368645,0.08758019634121915,0.08128372160803181,0.0785541131832474,0.08722523769055127,0.08103504033150265,0.0795568636192771,0.08433784142288156,0.08374639218406489,0.08128629431098704,0.0891832084835669,0.08371669411477495,0.08667043764376318,0.07753229360095582,0.08193243543190096,0.07926802183366423,0.08757472305169635,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
Aleatoric_Uncertainty,0.8692139925069051,0.8681867897270146,0.8528672514944996,0.9050030993503164,0.8694704892957298,0.8598280518875459,0.8904591030526415,0.8578689584459539,0.8454618422374962,0.8855911087242267,0.876529949050883,0.866777320442637,0.8980832582751062,0.8500415840373408,0.8306880918446217,0.8905629583158468,0.8749036442980442,0.86581793699043,0.8941439656553454,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
Overall_Uncertainty,0.8946740264006645,0.9014049795277838,0.88652242245157,0.9371711247593295,0.8929932795251353,0.8815944301716985,0.9178050606365638,0.8835895525808375,0.8698571466221464,0.9142728971447878,0.901821958116254,0.8908503893229944,0.9260691251493576,0.8820944716199477,0.864291068748155,0.9193703463827645,0.8983030172087689,0.8876987020600167,0.9207592139943621,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
Jitter,0.14345701917130493,0.1581971177096433,0.12876044377482507,0.22894009216589895,0.1397763555126196,0.11798385675513737,0.18721190731931864,0.12794833875579217,0.10182674468388754,0.1863137755102041,0.1534579439252337,0.1320712900544836,0.20072244897959207,0.1511028653885822,0.12667681998172428,0.20224489795918368,0.15113130535232974,0.132437641723356,0.1907178871548622,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
Per_Sample_Accuracy,0.6760227272727273,0.6906161137440758,0.9038926174496644,0.17806451612903226,0.6723786982248522,0.9129188255613127,0.14879699248120304,0.6868115942028986,0.9277622377622377,0.1484375,0.6690654205607476,0.9002714932126696,0.1581,0.6612121212121211,0.9029850746268657,0.155,0.6590188679245282,0.8992777777777778,0.1502352941176471,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
Label_Stability,0.7935606060606061,0.7713744075829383,0.8153020134228187,0.665806451612903,0.7991005917159764,0.8373056994818652,0.7159398496240601,0.8145893719806764,0.8594405594405594,0.714375,0.78,0.8155656108597286,0.7013999999999999,0.7741414141414141,0.8083582089552238,0.7024999999999999,0.7823396226415094,0.8143333333333332,0.7145882352941176,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
TPR,0.6878980891719745,0.56,1.0,0.0,0.7121212121212122,1.0,0.0,0.5782312925170068,1.0,0.0,0.7376543209876543,1.0,0.0,0.47058823529411764,1.0,0.0,0.7526501766784452,1.0,0.0,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
TNR,0.6905982905982906,0.7867647058823529,1.0,0.0,0.6614699331848553,1.0,0.0,0.7528089887640449,1.0,0.0,0.6383647798742138,1.0,0.0,0.7846153846153846,1.0,0.0,0.5951417004048583,1.0,0.0,325,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 325, 'splitter': 'best'}",Run_1
