Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
Mean,0.5202467169598443,0.5691365266903076,0.5825209128744768,0.5390731361843275,0.508038728967977,0.5071342889741817,0.5099753737130556,0.585913255813811,0.6020301578700965,0.5507040236293101,0.4779010049885946,0.47073250888971413,0.493292187789132,0.611230272377013,0.6366524604892834,0.5647439855431473,0.466483839691221,0.45471500866667236,0.490562597419608,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Std,0.02266240650998681,0.02244893103063303,0.021646066945664365,0.02425228728302417,0.022715712221399415,0.02278621771129029,0.022564741358287347,0.022600094577440853,0.021386721051509378,0.025250849049475783,0.022702588971161307,0.02331360364644188,0.021390704521294195,0.02183789901068157,0.019398416223612294,0.026298667535608257,0.022642055988829183,0.02329362713872397,0.021308956394791575,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
IQR,0.031176837432459657,0.031003390195985202,0.029663609764488275,0.03401274316519368,0.031220147925827838,0.03164678526381806,0.030306604778309727,0.031697611447992186,0.029976608364347453,0.03545734126149297,0.030841011198144294,0.03206867251620963,0.02820515013288637,0.031033314314964547,0.0274737183691239,0.03754228975878744,0.0308122867453533,0.03222895930367545,0.02791380725821144,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Aleatoric_Uncertainty,0.9054889516816437,0.9142898512872174,0.9017905330619096,0.9423652429932932,0.9032913305967016,0.8931321836197991,0.9250447456847904,0.9112627586542886,0.903023634953686,0.9292620750463745,0.90176565559648,0.8896046649890322,0.9278760177830588,0.9057498435579321,0.8911203729361267,0.9325008755520904,0.8975238241199482,0.8848795767024423,0.923393663663811,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Overall_Uncertainty,0.9085958839274713,0.9170875730344931,0.9043176678897052,0.945770744590478,0.9064754739847711,0.896380509946119,0.928091456461588,0.9140240808906036,0.905322047347245,0.9330346772468636,0.9050954578484419,0.8932285200781823,0.9305744712963525,0.9081384110155175,0.892646128159464,0.9364671568094439,0.9008896390923734,0.8885760238330128,0.9260830128414101,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Jitter,0.03929267161410018,0.054856369087919556,0.05291585127201495,0.0592150706436428,0.03540635188986843,0.02784297052154197,0.05160154768226998,0.03603076013013895,0.031888473699338844,0.04508006279434893,0.04139614724394436,0.033577485788836015,0.05818327330932399,0.04629148629148692,0.04440051020408163,0.04974927113702692,0.036951867539468705,0.027592295345104136,0.05610133708655861,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Per_Sample_Accuracy,0.6801704545454546,0.6802843601895734,0.9663013698630136,0.037846153846153856,0.6801420118343195,0.9820833333333334,0.03360594795539035,0.6810144927536234,0.9794366197183098,0.029076923076923084,0.679626168224299,0.9785388127853882,0.037843137254901967,0.6395959595959596,0.9715625,0.03257142857142858,0.6718867924528302,0.9823033707865169,0.0367816091954023,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Label_Stability,0.9493560606060606,0.9300473933649289,0.9326027397260274,0.9243076923076923,0.9541775147928994,0.9641666666666667,0.9327881040892194,0.9535265700483092,0.9588732394366197,0.9418461538461538,0.9466666666666667,0.9570776255707764,0.9243137254901961,0.9402020202020202,0.943125,0.9348571428571428,0.9520754716981132,0.9646067415730336,0.9264367816091955,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
TPR,0.6220806794055201,0.48,1.0,0.0,0.648989898989899,1.0,0.0,0.4489795918367347,1.0,0.0,0.7006172839506173,1.0,0.0,0.29411764705882354,1.0,0.0,0.7102473498233216,1.0,0.0,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
TNR,0.7333333333333333,0.8088235294117647,1.0,0.0,0.7104677060133631,1.0,0.0,0.8164794007490637,1.0,0.0,0.6635220125786163,1.0,0.0,0.8307692307692308,1.0,0.0,0.6275303643724697,1.0,0.0,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
PPV,0.6525612472160356,0.5806451612903226,1.0,0.0,0.6640826873385013,1.0,0.0,0.5739130434782609,1.0,0.0,0.6796407185628742,1.0,0.0,0.47619047619047616,1.0,0.0,0.6860068259385665,1.0,0.0,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
FNR,0.37791932059447986,0.52,0.0,1.0,0.351010101010101,0.0,1.0,0.5510204081632653,0.0,1.0,0.2993827160493827,0.0,1.0,0.7058823529411765,0.0,1.0,0.28975265017667845,0.0,1.0,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
FPR,0.26666666666666666,0.19117647058823528,0.0,1.0,0.289532293986637,0.0,1.0,0.18352059925093633,0.0,1.0,0.33647798742138363,0.0,1.0,0.16923076923076924,0.0,1.0,0.3724696356275304,0.0,1.0,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Accuracy,0.6837121212121212,0.6919431279620853,1.0,0.0,0.6816568047337278,1.0,0.0,0.6859903381642513,1.0,0.0,0.6822429906542056,1.0,0.0,0.6464646464646465,1.0,0.0,0.6716981132075471,1.0,0.0,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
F1,0.6369565217391304,0.5255474452554745,1.0,0.0,0.6564495530012772,1.0,0.0,0.5038167938931297,1.0,0.0,0.6899696048632219,1.0,0.0,0.36363636363636365,1.0,0.0,0.6979166666666666,1.0,0.0,325,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 325, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
