Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Name,Model_Params
Mean,0.5194551756569066,0.547898158601667,0.512352845004428,0.553495028064058,0.4975042427962202,0.5475625619367289,0.49155992059429066,AdaptiveRandomForest,
Std,0.031865314458495185,0.03054650125175916,0.03219462757875708,0.031911136372668326,0.03183576574748634,0.031750829864643074,0.03197893501767672,AdaptiveRandomForest,
IQR,0.036867961237670444,0.034292100769216564,0.037511164265887915,0.03653101112693037,0.03708524682310095,0.03642454888797475,0.03730802707906654,AdaptiveRandomForest,
Aleatoric_Uncertainty,0.9670595277835282,0.9677493382449387,0.9668872792541108,0.9616003574400179,0.9705799273508386,0.9645176034882179,0.9695822677445344,AdaptiveRandomForest,
Overall_Uncertainty,0.9701681552130968,0.9706157104475288,0.9700563988172802,0.9647514592705754,0.9736611647461247,0.9676332673444532,0.9726839118525435,AdaptiveRandomForest,
Statistical_Bias,0.45932258865930736,0.45563780423128275,0.4602426945934059,0.4543196008883915,0.4625488144181223,0.454346503773039,0.4642611181879436,AdaptiveRandomForest,
Jitter,0.12645202020202018,0.15007898894154817,0.12055226824457593,0.10413311862587225,0.14084458290065766,0.12019433882551754,0.13266247379454932,AdaptiveRandomForest,
Per_Sample_Accuracy,0.6766098484848485,0.6772511848341232,0.6764497041420118,0.6830917874396134,0.672429906542056,0.6884030418250952,0.6649056603773585,AdaptiveRandomForest,
Label_Stability,0.812689393939394,0.7715639810426541,0.8229585798816568,0.8454106280193238,0.7915887850467289,0.8201520912547529,0.8052830188679245,AdaptiveRandomForest,
TPR,0.6072186836518046,0.48,0.6313131313131313,0.4557823129251701,0.6759259259259259,0.48936170212765956,0.6855123674911661,AdaptiveRandomForest,
TNR,0.7435897435897436,0.8088235294117647,0.7238307349665924,0.8127340823970037,0.6855345911949685,0.8076923076923077,0.6558704453441295,AdaptiveRandomForest,
PPV,0.6559633027522935,0.5806451612903226,0.6684491978609626,0.5726495726495726,0.6865203761755486,0.5859872611464968,0.6953405017921147,AdaptiveRandomForest,
FNR,0.39278131634819535,0.52,0.3686868686868687,0.54421768707483,0.32407407407407407,0.5106382978723404,0.31448763250883394,AdaptiveRandomForest,
FPR,0.2564102564102564,0.19117647058823528,0.27616926503340755,0.18726591760299627,0.31446540880503143,0.19230769230769232,0.3441295546558704,AdaptiveRandomForest,
Accuracy,0.6827651515151515,0.6919431279620853,0.6804733727810651,0.6859903381642513,0.6806853582554517,0.6939163498098859,0.6716981132075471,AdaptiveRandomForest,
F1,0.6306504961411246,0.5255474452554745,0.6493506493506493,0.5075757575757576,0.6811819595645412,0.5333333333333333,0.6903914590747331,AdaptiveRandomForest,
Selection-Rate,0.4128787878787879,0.2938388625592417,0.44260355029585796,0.2826086956521739,0.4968847352024922,0.2984790874524715,0.5264150943396226,AdaptiveRandomForest,
Positive-Rate,0.9256900212314225,0.8266666666666667,0.9444444444444444,0.7959183673469388,0.9845679012345679,0.8351063829787234,0.9858657243816255,AdaptiveRandomForest,
Sample_Size,1056.0,,,,,,,AdaptiveRandomForest,
