Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Name,Model_Params
Mean,0.5203710183290561,0.5754234870208831,0.5974963591246806,0.5258444204492768,0.5066241888687301,0.5103812848646768,0.49778308598937965,0.5851698999808072,0.608036562380877,0.5329032430663619,0.47858482361904847,0.4762218190493659,0.48416448362390097,0.5755322406517313,0.5958869349516949,0.5268122949402056,0.4656261071182502,0.4587405366572767,0.48126740298021486,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Std,0.07067314890843965,0.07475898350796382,0.07114177891773263,0.08288378151063698,0.06965289908536318,0.06810906962891786,0.0732857993539032,0.07123684404875721,0.06750614853861409,0.07976414807194149,0.07030964456561802,0.06947584752287449,0.07227845328958313,0.07166509959322258,0.06839032726081147,0.07950342562757429,0.06968868464391921,0.06902871358200052,0.07118787816729011,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
IQR,0.0849658052365583,0.08435089292871044,0.08155973814650758,0.09062025597796608,0.08511935138680199,0.08337822572099984,0.089216524084503,0.0878867207932444,0.0828811675620531,0.09932798532168169,0.08308222417663921,0.08310694759217675,0.08302384584989876,0.08661305160316639,0.08264032225492338,0.09612197152702553,0.08333099091800006,0.08340067952545228,0.08317268593317031,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Aleatoric_Uncertainty,0.8688700215584493,0.8701608681825594,0.8532014261482774,0.9082543841364848,0.8685476918097071,0.8587432256913345,0.8916193124771472,0.8605099520070393,0.8474929070143625,0.8902631977045864,0.8742610944467417,0.8641334453048194,0.8981750722635324,0.8653722836822902,0.8529762315314083,0.8950428343144009,0.8723413614129018,0.8623585846588517,0.8950182863850646,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Overall_Uncertainty,0.8939368207123927,0.8988215897175007,0.8801479326255154,0.940765496416422,0.8927170736590462,0.8816766851256869,0.9186970355649278,0.8870816181918688,0.8721250893938903,0.9212679697301052,0.8983574653284315,0.8872812565352928,0.9245112358295077,0.8922868185552305,0.8780502607174582,0.9263627086056397,0.895574370023086,0.8847261568388057,0.9202172246639202,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Statistical_Bias,0.4191894381143601,0.4148323390071469,0.32671341262720127,0.6127610044144093,0.42027742380858724,0.3276785735941836,0.638178686416291,0.41541555822942505,0.31941568080789573,0.634843849478635,0.42162306159156115,0.33264265257704734,0.6317286347096018,0.414101734688589,0.32402359919697954,0.6297081106072153,0.42423874377842735,0.3309804268555513,0.6360847970353308,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Jitter,0.13427257266542997,0.14532933552567973,0.11393905507408325,0.21583673469387854,0.13151165318198293,0.11985820972571165,0.15893424036281176,0.12990042393769083,0.10804138321995459,0.17986394557823165,0.13709199567677563,0.12548803113263066,0.16449193289881414,0.13158066268332447,0.11059354199900977,0.18181435154707073,0.13694416634578385,0.1268500443655724,0.1598740236835474,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Per_Sample_Accuracy,0.6785416666666666,0.68739336492891,0.9235616438356167,0.15692307692307694,0.6763313609467455,0.9156155143338953,0.11325396825396826,0.6837198067632849,0.9235416666666667,0.13555555555555557,0.675202492211838,0.9131263858093127,0.11340314136125657,0.6909505703422053,0.9232345013477088,0.1349677419354839,0.6662264150943397,0.9110869565217391,0.11000000000000003,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Label_Stability,0.8156439393939393,0.7998104265402843,0.8476712328767123,0.6923076923076924,0.8195976331360946,0.8358178752107925,0.7814285714285714,0.8169082125603865,0.8515277777777778,0.7377777777777778,0.8148286604361371,0.8296230598669624,0.7798952879581154,0.8173384030418251,0.8501347708894879,0.7388387096774194,0.8139622641509434,0.8260869565217391,0.7864197530864198,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
TPR,0.6581740976645435,0.48,1.0,0.0,0.6919191919191919,1.0,0.0,0.5238095238095238,1.0,0.0,0.7191358024691358,1.0,0.0,0.5478723404255319,1.0,0.0,0.7314487632508834,1.0,0.0,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
