Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Name,Model_Params
Statistical_Bias,0.43458841412389493,0.4345690505308617,0.35839085914833946,0.6056769880977578,0.4345932492932796,0.34933589240446233,0.6181510661770389,0.43432213528014024,0.3492048065838192,0.6202707610474878,0.43476012664930686,0.3524321418752339,0.6127994631804301,0.43321261694918295,0.3539502320044722,0.6145253225102089,0.4359538279237034,0.3483083765809398,0.6168175627755333,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
IQR,0.028446188975494127,0.028503341916602486,0.027785172031601378,0.030116461965989584,0.028431917649371214,0.028154882316455413,0.029028370586283225,0.02874090574096246,0.02746576876778079,0.03152658959006704,0.02825613797720147,0.02847773094113629,0.027776929547805477,0.02886574400001693,0.02795751767346172,0.030943311722011962,0.02802980040398659,0.028206024495018443,0.0276661472219151,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Aleatoric_Uncertainty,0.907651785494834,0.9165441672154672,0.904382636532744,0.9438608361335845,0.9054313209468416,0.8958440681661287,0.9260725330903921,0.913299958308673,0.9053874983366781,0.9305856400936471,0.9040095058298352,0.8925098923417318,0.9288781281021374,0.9155187557282067,0.9069127367415412,0.935205024160204,0.8998441886217136,0.8879883210594753,0.924309765036274,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Std,0.022060657884588324,0.022373260532284785,0.021760325618544164,0.023750006646225237,0.021982599708654654,0.0217336409153433,0.02251860427485111,0.022236916032643616,0.02114743740936959,0.02461700779425764,0.02194699608817884,0.022121745157629998,0.021569090465080036,0.022416228189165267,0.021653852887767347,0.024160161691113,0.02170777112947989,0.021826353477696594,0.02146306651495179,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Overall_Uncertainty,0.9102366040828535,0.9190351751016758,0.90669793217075,0.9467465207619096,0.9080395644556682,0.8984663928212351,0.928650460101444,0.9156846380223627,0.9074197336693979,0.9337402752242242,0.9067233859349458,0.8954118505527862,0.9311852777219802,0.9179957630180802,0.9091561314761026,0.938216420170354,0.9025360048377038,0.890873564802601,0.9266024273378872,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Mean_Prediction,0.518659147842532,0.5663410604596762,0.5795809152462557,0.5366023097082823,0.5067527767629847,0.5060643060308699,0.5082350439735454,0.5838815040641153,0.6001647028349902,0.5483089775185118,0.4765998714005763,0.46963813804243293,0.491655048465724,0.5722020210738759,0.5861033905801047,0.5404026383283773,0.46552037176765104,0.45407304552786254,0.48914288892143415,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Jitter,0.04153679653679644,0.05971177096430981,0.05611406206318067,0.06779277864992254,0.036998430141287265,0.030097973331446884,0.051855010660980916,0.03910480134082611,0.033569991376832434,0.051196232339089986,0.0431050925042916,0.036504114174142954,0.057380114607419416,0.04501745945526517,0.03974127355860372,0.05708673469387757,0.03808240277242977,0.030851197621906138,0.053004600684204366,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Label_Stability,0.9434848484848485,0.9181042654028436,0.9221917808219177,0.908923076923077,0.9498224852071007,0.958266897746967,0.9316417910447762,0.9470531400966185,0.9545070422535212,0.9307692307692308,0.941183800623053,0.9487015945330296,0.9249261083743842,0.9387832699619773,0.9453551912568307,0.9237500000000001,0.9481509433962264,0.956750700280112,0.9304046242774565,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
TPR,0.6284501061571125,0.48,1.0,0.0,0.6565656565656566,1.0,0.0,0.4489795918367347,1.0,0.0,0.7098765432098766,1.0,0.0,0.48936170212765956,1.0,0.0,0.7208480565371025,1.0,0.0,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
TNR,0.7299145299145299,0.8088235294117647,1.0,0.0,0.7060133630289532,1.0,0.0,0.8164794007490637,1.0,0.0,0.6572327044025157,1.0,0.0,0.8106508875739645,1.0,0.0,0.6194331983805668,1.0,0.0,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
