Metric,overall,age_priv,age_dis,Model_Seed,Model_Name,Run_Number
Mean,0.934341095505661,0.9005392110154845,0.9369518841709047,102,RandomForestClassifier,Run_1
Std,0.007721278915654625,0.01128417820203814,0.007446087836441333,102,RandomForestClassifier,Run_1
IQR,0.01027906017105118,0.015177459533678425,0.009900717787877236,102,RandomForestClassifier,Run_1
Entropy,0.0,0.0,0.0,102,RandomForestClassifier,Run_1
Jitter,0.005943755102040809,0.011891953434093256,0.00548432838609967,102,RandomForestClassifier,Run_1
Per_Sample_Accuracy,0.938954,0.881255230125523,0.943410535387267,102,RandomForestClassifier,Run_1
Label_Stability,0.9916520000000001,0.9832078103207811,0.9923042120004308,102,RandomForestClassifier,Run_1
TPR,0.11919504643962849,0.10344827586206896,0.12164579606440072,102,RandomForestClassifier,Run_1
TNR,0.9964720974983964,0.9888888888888889,0.9970197157267309,102,RandomForestClassifier,Run_1
PPV,0.7,0.5625,0.723404255319149,102,RandomForestClassifier,Run_1
FNR,0.8808049535603715,0.896551724137931,0.8783542039355993,102,RandomForestClassifier,Run_1
FPR,0.003527902501603592,0.011111111111111112,0.0029802842732691427,102,RandomForestClassifier,Run_1
Accuracy,0.9398,0.8814504881450488,0.9443067973715393,102,RandomForestClassifier,Run_1
F1,0.2037037037037037,0.17475728155339806,0.2082695252679939,102,RandomForestClassifier,Run_1
Selection-Rate,0.011,0.022315202231520222,0.010126036841538295,102,RandomForestClassifier,Run_1
Positive-Rate,0.17027863777089783,0.1839080459770115,0.16815742397137745,102,RandomForestClassifier,Run_1
