Metric,overall,age_priv,age_dis,Model_Seed,Model_Name,Run_Number
Mean,0.8777197003364563,0.8437382578849792,0.8803443312644958,103,XGBClassifier,Run_1
Std,0.011557617224752903,0.01781247928738594,0.011074503883719444,103,XGBClassifier,Run_1
IQR,0.014273939234018327,0.022184676725827832,0.013662929993295778,103,XGBClassifier,Run_1
Entropy,0.0,0.0,0.0,103,XGBClassifier,Run_1
Jitter,0.011033959183673472,0.020837389349044923,0.010276762218406668,103,XGBClassifier,Run_1
Per_Sample_Accuracy,0.938316,0.8812831241283122,0.942721103091673,103,XGBClassifier,Run_1
Label_Stability,0.9846800000000001,0.970655509065551,0.985763223095982,103,XGBClassifier,Run_1
TPR,0.14241486068111456,0.10344827586206896,0.148479427549195,103,XGBClassifier,Run_1
TNR,0.994440880906564,0.9888888888888889,0.9948418156808804,103,XGBClassifier,Run_1
PPV,0.6388888888888888,0.5625,0.6484375,103,XGBClassifier,Run_1
FNR,0.8575851393188855,0.896551724137931,0.851520572450805,103,XGBClassifier,Run_1
FPR,0.005559119093435963,0.011111111111111112,0.00515818431911967,103,XGBClassifier,Run_1
Accuracy,0.9394,0.8814504881450488,0.9438759021867931,103,XGBClassifier,Run_1
F1,0.23291139240506328,0.17475728155339806,0.24163027656477437,103,XGBClassifier,Run_1
Selection-Rate,0.0144,0.022315202231520222,0.013788645911881935,103,XGBClassifier,Run_1
Positive-Rate,0.22291021671826625,0.1839080459770115,0.22898032200357782,103,XGBClassifier,Run_1
