Metric,overall,age_priv,age_dis,Model_Seed,Model_Name,Run_Number
Mean,0.9321362275947273,0.869007113730442,0.9370928707022769,101,LogisticRegression,Run_1
Std,0.0041482072697874,0.007172825569273681,0.003910726454210824,101,LogisticRegression,Run_1
IQR,0.005648255226330357,0.009350796374805103,0.005357546646079104,101,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,101,LogisticRegression,Run_1
Jitter,9.322448979591925e-05,0.0,0.00010054410029758273,101,LogisticRegression,Run_1
Per_Sample_Accuracy,0.9365559999999999,0.896978021978022,0.9396635030198447,101,LogisticRegression,Run_1
Label_Stability,0.9998959999999999,1.0,0.9998878343399481,101,LogisticRegression,Run_1
TPR,0.014084507042253521,0.03896103896103896,0.010676156583629894,101,LogisticRegression,Run_1
TNR,0.9995726952248691,0.9984639016897081,0.9996555683122847,101,LogisticRegression,Run_1
PPV,0.6923076923076923,0.75,0.6666666666666666,101,LogisticRegression,Run_1
FNR,0.9859154929577465,0.961038961038961,0.9893238434163701,101,LogisticRegression,Run_1
FPR,0.0004273047751308621,0.0015360983102918587,0.0003444316877152698,101,LogisticRegression,Run_1
Accuracy,0.9366,0.896978021978022,0.9397109577221743,101,LogisticRegression,Run_1
F1,0.027607361963190184,0.07407407407407407,0.021015761821366025,101,LogisticRegression,Run_1
Selection-Rate,0.0013,0.005494505494505495,0.0009706643658326143,101,LogisticRegression,Run_1
Positive-Rate,0.02034428794992175,0.05194805194805195,0.01601423487544484,101,LogisticRegression,Run_1
