Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name
Mean,0.5362985000000001,0.5002803837953093,0.5681111111111111,0.5231506228765572,0.562078460399704,0.46862470495672703,0.5582627345844505,103,KNeighborsClassifier
Std,0.06875228688933505,0.06489723770103792,0.07215721734001555,0.07069723857334421,0.0649386843645828,0.06566927821554666,0.06628766388922791,103,KNeighborsClassifier
IQR,0.08720750000000001,0.0828678038379531,0.09104048964218456,0.08933937334843337,0.08302738712065139,0.0835562549173879,0.08432975871313675,103,KNeighborsClassifier
Entropy,0.0,0.0,0.16453519997090235,0.13524539142132486,0.0,0.09419947535215296,0.14870677752773914,103,KNeighborsClassifier
Jitter,0.09075131578947367,0.06682471103130964,0.1118842303498861,0.09114263575132622,0.08998402742607811,0.06260300633566604,0.10157330323126855,103,KNeighborsClassifier
Per_Sample_Accuracy,0.7929875,0.8259328358208955,0.7638888888888888,0.7895998489996225,0.7996299037749817,0.8248623131392605,0.7764745308310992,103,KNeighborsClassifier
Label_Stability,0.877325,0.9116737739872068,0.8469868173258004,0.877425443563609,0.8771280532938565,0.9175452399685288,0.8591152815013404,103,KNeighborsClassifier
TPR,0.8712250712250712,0.9049217002237137,0.8362369337979094,0.863562091503268,0.8888888888888888,0.9064856711915535,0.88,103,KNeighborsClassifier
TNR,0.7478841870824053,0.7708757637474541,0.7300079176563737,0.7424561403508771,0.7573170731707317,0.7582236842105263,0.7286995515695067,103,KNeighborsClassifier
PPV,0.7298329355608592,0.7823984526112185,0.6786050895381716,0.7422752808988764,0.7034277198211625,0.803475935828877,0.6857142857142857,103,KNeighborsClassifier
FNR,0.12877492877492877,0.09507829977628636,0.16376306620209058,0.136437908496732,0.1111111111111111,0.09351432880844646,0.12,103,KNeighborsClassifier
FPR,0.25211581291759466,0.22912423625254583,0.26999208234362626,0.2575438596491228,0.2426829268292683,0.24177631578947367,0.2713004484304933,103,KNeighborsClassifier
Accuracy,0.802,0.8347547974413646,0.7730696798493408,0.79841449603624,0.8090303478904515,0.8355625491738788,0.789544235924933,103,KNeighborsClassifier
F1,0.7942857142857143,0.8392116182572614,0.7492195629552549,0.7983383685800605,0.7853577371048253,0.8518781006378455,0.7708029197080292,103,KNeighborsClassifier
Selection-Rate,0.52375,0.5511727078891258,0.4995291902071563,0.5375613439033597,0.4966691339748335,0.5885129819040126,0.5160857908847185,103,KNeighborsClassifier
Positive-Rate,1.1937321937321936,1.1565995525727069,1.232288037166086,1.1633986928104576,1.2636534839924671,1.1282051282051282,1.2833333333333334,103,KNeighborsClassifier
