Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,AGEP_priv,AGEP_dis,SEX&RAC1P&AGEP_priv,SEX&RAC1P&AGEP_dis,Model_Seed,Model_Name
Mean,0.5571357934058883,0.5380220919904255,0.5751541005683037,0.5479784174600785,0.5767978539535793,0.2752610087954238,0.6021671086625905,0.20645655825062884,0.6292036782850118,101,DecisionTreeClassifier
Std,0.05293756114717418,0.05318546504525101,0.052703864466179945,0.05341933246344425,0.05190313634615058,0.05353089800862166,0.05284277175585567,0.05285767582526951,0.052571208717639394,101,DecisionTreeClassifier
IQR,0.06559086767907027,0.0679828306650697,0.06333598659319126,0.06612437226930848,0.0644453649042787,0.06195357424982905,0.06617194876909982,0.06737632203008162,0.0637942844202371,101,DecisionTreeClassifier
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,DecisionTreeClassifier
Jitter,0.05206710526315795,0.03957265652539385,0.0638455049717543,0.05310601531310872,0.04983643215039961,0.025723564810392587,0.05627565579649324,0.025110261687738947,0.06954495614035086,101,DecisionTreeClassifier
Per_Sample_Accuracy,0.8230625,0.8591447707367337,0.7890480815930063,0.8154268962990107,0.8394571203776553,0.8274954627949183,0.8223543055958249,0.9184357541899442,0.8268229166666666,101,DecisionTreeClassifier
Label_Stability,0.930475,0.9469345698093766,0.9149587178241866,0.9291315500183217,0.9333595594020456,0.9707803992740471,0.9240359524499855,0.9687150837988827,0.9060763888888891,101,DecisionTreeClassifier
TPR,0.8542372881355932,0.858397365532382,0.8498253783469151,0.8397435897435898,0.8888888888888888,0.9614457831325302,0.8214022140221402,0.9605263157894737,0.8537735849056604,101,DecisionTreeClassifier
TNR,0.8112107623318385,0.8718446601941747,0.7591666666666667,0.8055367994598245,0.822429906542056,0.4264705882352941,0.8361986628462273,0.7037037037037037,0.8351648351648352,101,DecisionTreeClassifier
PPV,0.7822038282462493,0.8555798687089715,0.7163886162904809,0.7844311377245509,0.7772194304857621,0.8364779874213837,0.7644230769230769,0.948051948051948,0.7510373443983402,101,DecisionTreeClassifier
FNR,0.14576271186440679,0.141602634467618,0.15017462165308498,0.16025641025641027,0.1111111111111111,0.03855421686746988,0.17859778597785977,0.039473684210526314,0.14622641509433962,101,DecisionTreeClassifier
FPR,0.18878923766816144,0.12815533980582525,0.24083333333333334,0.19446320054017555,0.17757009345794392,0.5735294117647058,0.16380133715377268,0.2962962962962963,0.16483516483516483,101,DecisionTreeClassifier
Accuracy,0.83025,0.865533230293663,0.7969888295288975,0.8211799193843898,0.8497246262785209,0.8294010889292196,0.8303856190200058,0.9217877094972067,0.8420138888888888,101,DecisionTreeClassifier
F1,0.8166351606805293,0.856986301369863,0.777422790202343,0.8111455108359134,0.8293118856121537,0.8946188340807175,0.791889007470651,0.954248366013072,0.7991169977924945,101,DecisionTreeClassifier
Selection-Rate,0.48325,0.47089129314786193,0.49490043710539094,0.48955661414437524,0.4697088906372935,0.8656987295825771,0.42215134821687444,0.8603351955307262,0.4184027777777778,101,DecisionTreeClassifier
Positive-Rate,1.092090395480226,1.0032930845225028,1.1862630966239813,1.0705128205128205,1.1436781609195403,1.1493975903614457,1.074538745387454,1.013157894736842,1.1367924528301887,101,DecisionTreeClassifier
