Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,AGEP_priv,AGEP_dis,SEX&RAC1P&AGEP_priv,SEX&RAC1P&AGEP_dis,Model_Seed,Model_Name,Model_Params
Mean,0.5508424685693722,0.5274102693225413,0.5731093414762828,0.546446359776628,0.5594911929895187,0.270729788302498,0.5960639117251163,0.18813223711595184,0.6065052204945348,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
Std,0.05895124257249393,0.06307040307219577,0.05503693549598544,0.05628874389096599,0.06418933345039607,0.06174665231531159,0.05849995110414125,0.05561173383411271,0.058423034067969254,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
IQR,0.07693268800365824,0.08340573701276921,0.07078155562006133,0.07441866416924302,0.08187867554732975,0.06583370284061296,0.07872451023090946,0.0652665405328574,0.07807933922624478,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
Jitter,0.05461315789473686,0.05345521319975155,0.05571351587159027,0.049902754624116814,0.06388021240043726,0.04290041650889814,0.05650406504065042,0.03342972816657021,0.07236176444483887,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
Per_Sample_Accuracy,0.8068999999999998,0.8389687018984093,0.7764261335933691,0.8118589743589745,0.7971439169139466,0.7996402877697842,0.8080720092915215,0.90989010989011,0.7786677908937606,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
Label_Stability,0.9242,0.9224730631092869,0.9258410531448075,0.930128205128205,0.9125370919881305,0.9456834532374102,0.9207317073170732,0.953846153846154,0.9013490725126475,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
TPR,0.8332403792526492,0.836423118865867,0.8299086757990868,0.8191235059760956,0.8661710037174721,0.9645390070921985,0.7927007299270074,0.9751552795031055,0.8017241379310345,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
TNR,0.8019936565473493,0.8594961240310077,0.7514893617021277,0.819613457408733,0.7716049382716049,0.3383458646616541,0.8317261330761813,0.5238095238095238,0.7811634349030471,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
PPV,0.7736923873640601,0.8410087719298246,0.7134445534838076,0.803125,0.7158218125960062,0.8225806451612904,0.756794425087108,0.9401197604790419,0.7018867924528301,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}"
