Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,AGEP_priv,AGEP_dis,SEX&RAC1P&AGEP_priv,SEX&RAC1P&AGEP_dis,Model_Seed,Model_Name,Model_Params
Mean,0.5217545,0.48736993329912776,0.5544290589956119,0.5111636500754149,0.5425905044510386,0.24525539568345328,0.5663925667828108,0.15009890109890112,0.5856897133220912,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Std,0.06853597849069251,0.0643393545246282,0.0725238966329935,0.0688613657747658,0.06789582487247114,0.0759469205740116,0.06733955462358292,0.06205663866789028,0.06992553725666302,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
IQR,0.0871975,0.08143150333504362,0.09267674305216968,0.08714932126696832,0.08729228486646884,0.09679856115107913,0.08564750290360047,0.07884615384615386,0.0909106239460371,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Entropy,0.13001123421072,0.0,0.1575764900647447,0.12810482773908805,0.0,0.0,0.13407306440231814,0.0,0.15878314937062032,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Jitter,0.08750131578947369,0.06772973994761143,0.10628961482203801,0.08617329522902281,0.09011400905825391,0.06993563044301396,0.09033712329604499,0.02741469057258525,0.10758853288364252,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Per_Sample_Accuracy,0.7901375,0.8236275012827091,0.7583130180399806,0.7943627450980393,0.7818249258160238,0.8071942446043164,0.7873838559814169,0.8989010989010988,0.7623946037099495,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Label_Stability,0.882375,0.9087224217547459,0.8573378839590444,0.8842760180995477,0.8786350148367953,0.9075539568345324,0.8783101045296168,0.9615384615384616,0.8539629005059024,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
TPR,0.8739542665923034,0.9171210468920392,0.8287671232876712,0.8677290836653386,0.8884758364312267,0.9692671394799054,0.8445255474452554,0.9751552795031055,0.8060344827586207,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
TNR,0.7390122338015406,0.7606589147286822,0.72,0.7494631352899069,0.7209876543209877,0.3458646616541353,0.7642237222757956,0.38095238095238093,0.739612188365651,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
PPV,0.731217918805413,0.7729779411764706,0.6881516587677725,0.7567755385684504,0.6789772727272727,0.8249496981891348,0.7029161603888214,0.9235294117647059,0.6654804270462633,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
FNR,0.1260457334076966,0.08287895310796074,0.17123287671232876,0.13227091633466134,0.11152416356877323,0.030732860520094562,0.1554744525547445,0.024844720496894408,0.1939655172413793,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
FPR,0.2609877661984594,0.23934108527131784,0.28,0.25053686471009307,0.27901234567901234,0.6541353383458647,0.23577627772420442,0.6190476190476191,0.26038781163434904,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Accuracy,0.7995,0.8342739866598256,0.7664553876157971,0.8054298642533937,0.787833827893175,0.8201438848920863,0.7961672473867596,0.9065934065934066,0.7655986509274874,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
F1,0.796239837398374,0.8389027431421446,0.7519419989642672,0.8084632516703786,0.7697262479871175,0.8913043478260869,0.7672413793103449,0.9486404833836858,0.7290448343079922,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Selection-Rate,0.53575,0.5582349923037455,0.514383227693808,0.5426093514328808,0.5222551928783383,0.8938848920863309,0.47793263646922185,0.9340659340659341,0.47386172006745364,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
Positive-Rate,1.1952035694366983,1.1864776444929117,1.2043378995433789,1.146613545816733,1.308550185873606,1.1749408983451537,1.2014598540145986,1.0559006211180124,1.2112068965517242,100,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}"
