Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,AGEP_priv,AGEP_dis,SEX&RAC1P&AGEP_priv,SEX&RAC1P&AGEP_dis,Model_Seed,Model_Name,Model_Params
Mean,0.551621413941019,0.5230197093818316,0.5788007031588913,0.5361144542863295,0.5821291713625595,0.2603590206535706,0.5986428688387603,0.20474751848515052,0.6402494094588993,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Std,0.02253651175673516,0.022281268287430912,0.0227790614991408,0.020754585061764762,0.026042201367314898,0.02281488310587052,0.02249157143440088,0.01905890756665093,0.02632944368344454,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
IQR,0.028733151595068982,0.028483175379865812,0.028970696033601882,0.026491501371247915,0.03314328245083566,0.029064223816575675,0.02867970323410565,0.0243555521523772,0.033529246482469285,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Entropy,0.046478138783808055,0.0,0.05227175122660496,0.04612935845784977,0.0,0.0,0.04650592968337582,0.0,0.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Jitter,0.031546052631578975,0.027698414841619223,0.035202340321794236,0.03137056442009995,0.03189130095267842,0.031796667928814804,0.03150559325142123,0.013823019086176955,0.033780065678530244,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Per_Sample_Accuracy,0.8054874999999999,0.84440738840431,0.768503169185763,0.815969079939668,0.7848664688427299,0.812320143884892,0.8043844367015098,0.9054945054945056,0.7627318718381113,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Label_Stability,0.9569249999999999,0.961262185736275,0.9528035104826914,0.9570512820512822,0.9566765578635014,0.9566546762589929,0.9569686411149826,0.9824175824175825,0.954468802698145,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
TPR,0.833798103736754,0.9007633587786259,0.7636986301369864,0.8382470119521912,0.8234200743494424,0.9432624113475178,0.8,0.9440993788819876,0.6896551724137931,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
TNR,0.7838695061169008,0.7965116279069767,0.7727659574468085,0.7981388690050107,0.7592592592592593,0.40601503759398494,0.8081002892960463,0.6190476190476191,0.8033240997229917,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
PPV,0.7581135902636917,0.7972972972972973,0.7147435897435898,0.7886056971514243,0.6943573667711599,0.8347280334728033,0.7336010709504686,0.95,0.6926406926406926,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 150, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
