Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params
Label_Stability,0.9513653846153847,0.9565709459459459,0.9623911028730306,0.8967619047619048,0.9444866071428571,0.9584373030875866,0.8364878048780489,0.9592512762336927,0.9613414634146341,0.9313821138211382,0.9075078864353312,0.9563010752688171,0.7732544378698225,0.9572637075718016,0.9618737503570409,0.9082066869300912,0.882909090909091,0.9440983606557377,0.7093023255813953,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Jitter,0.04323430141287276,0.03911645063430781,0.034835353974768765,0.08310981535471383,0.04867574708454812,0.038540179777014766,0.12713987058237877,0.038145091275307644,0.036723743155798946,0.05709639953542383,0.07153801583724981,0.0341593153390389,0.17438473614297792,0.039219054723717096,0.03590041329299496,0.07453383785124988,0.08983549783549757,0.04365005018400791,0.22087327954437624,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
TPR,0.9951716738197425,0.9958139534883721,1.0,0.0,0.9942965779467681,1.0,0.0,0.9944836040453571,1.0,0.0,1.0,1.0,,0.994833524684271,1.0,0.0,1.0,1.0,,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
TNR,0.08101851851851852,0.0779816513761468,1.0,0.0,0.08411214953271028,1.0,0.0,0.13307984790874525,1.0,0.0,0.0,,0.0,0.10115606936416185,1.0,0.0,0.0,,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
PPV,0.9033357682006331,0.9141759180187874,1.0,0.0,0.8889518413597733,1.0,0.0,0.934350705441981,1.0,0.0,0.7334384858044164,1.0,0.0,0.9176595181360868,1.0,0.0,0.7393939393939394,1.0,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
FNR,0.004828326180257511,0.004186046511627907,0.0,1.0,0.005703422053231939,0.0,1.0,0.0055163959546429666,0.0,1.0,0.0,0.0,,0.005166475315729047,0.0,1.0,0.0,0.0,,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
FPR,0.9189814814814815,0.9220183486238532,0.0,1.0,0.9158878504672897,0.0,1.0,0.8669201520912547,0.0,1.0,1.0,,1.0,0.8988439306358381,0.0,1.0,1.0,,1.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Accuracy,0.9002403846153846,0.9113175675675675,1.0,0.0,0.8856026785714286,1.0,0.0,0.9302325581395349,1.0,0.0,0.7334384858044164,1.0,0.0,0.9140992167101828,1.0,0.0,0.7393939393939394,1.0,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
F1,0.9470325462667517,0.9532502226179875,1.0,0.0,0.9386778342805863,1.0,0.0,0.963479809976247,1.0,0.0,0.8462238398544131,1.0,0.0,0.9546894367167057,1.0,0.0,0.8501742160278746,1.0,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Selection-Rate,0.9872596153846154,0.9890202702702703,0.9921223354958295,0.9571428571428572,0.9849330357142857,0.9886578449905482,0.9560975609756097,0.9849688031764039,0.989329268292683,0.926829268292683,1.0,1.0,1.0,0.9861618798955614,0.9900028563267638,0.9452887537993921,1.0,1.0,1.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
