Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params
Std,0.010753564736802597,0.009248466085383262,0.005442428240819996,0.04815663495136887,0.012742445097606716,0.006933494116798606,0.05924324365251783,0.008524429002654127,0.005015092518207296,0.054313580343544034,0.02315093476615196,0.013389359676589505,0.052312872926794526,0.009212792111650013,0.005381389445123829,0.04998404054784506,0.028635865204482573,0.015839877092893126,0.06797168051047976,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
IQR,0.01181238142502475,0.010274735729703334,0.0068105118903213175,0.045688625879215246,0.01384427037955662,0.007391515023699712,0.06549873913272271,0.00846533730970388,0.005377637867971085,0.048753049149046136,0.03042701478562631,0.018638302236992473,0.06564486673909216,0.009698208932682662,0.00616199017163367,0.0473283058397724,0.036349595502813234,0.019645903571434736,0.08769798181038416,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Mean_Prediction,0.024873770445381516,0.022293418420415514,0.014473658475657555,0.10223286013057153,0.028283521335515156,0.019381659960159208,0.09954314531009825,0.02305024969332259,0.014920166506046034,0.12913002036396287,0.03501530699389851,0.02785499019205514,0.05640619052141799,0.023569034382212188,0.015641290146981526,0.1079308354993628,0.04001661626943763,0.02945585881102264,0.07248116697493556,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Overall_Uncertainty,0.024439977774670347,0.020417029821514523,0.012212144603179103,0.10429351046582495,0.02975601614134054,0.015436199485548894,0.14438650826534094,0.016999219143610998,0.01016107740986006,0.10622198479315009,0.0658218625272181,0.0371661750994632,0.15142847591202044,0.019577210761786267,0.011515536338161717,0.10536420819980921,0.08087754643935527,0.04263280710695804,0.19844470809079862,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Aleatoric_Uncertainty,0.009366834158486865,0.007111580609503709,0.004255214214577458,0.03631149678891568,0.012346990633928892,0.005994695669011958,0.06319727143349009,0.004044356883629545,0.0026391312864352105,0.022379471747420172,0.038967867078276944,0.021231352207377506,0.09195431087498909,0.006065235241605358,0.003652528840798141,0.031739658066000674,0.04768539128471771,0.023857605582109778,0.12093376955569764,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Statistical_Bias,0.09859469072009444,0.0898498149765072,0.003911700307582948,0.9683735748858421,0.11015041938126333,0.004535434081893446,0.9556010303455661,0.07188696223299287,0.0032403871889433943,0.9675743457758701,0.24713010183290227,0.010632033709732763,0.9536494877354527,0.08649473413093041,0.0036635780773304357,0.967929011771215,0.2390275202246346,0.011390751836059532,0.9387998082339583,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Epistemic_Uncertainty,0.015073143616183482,0.013305449212010814,0.007956930388601645,0.06798201367690927,0.01740902550741165,0.009441503816536936,0.08118923683185085,0.012954862259981452,0.00752194612342485,0.08384251304572993,0.026853995448941154,0.01593482289208569,0.059474165037031346,0.01351197552018091,0.007863007497363576,0.07362455013380853,0.03319215515463756,0.018775201524848264,0.07751093853510098,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Jitter,0.00984250663129974,0.008587682510096303,0.005535572501185655,0.03978863648744341,0.011500667077175706,0.00609419082047175,0.05477964535320257,0.007609808255259778,0.004605422479599894,0.04681045931217681,0.02225969034410242,0.013822141560798574,0.0474662040049158,0.008472734911917402,0.00520705085903207,0.04322398071480973,0.025740160222918872,0.013728477126898451,0.06266496381438906,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Label_Stability,0.9865865384615387,0.9882319819819819,0.9922732189769741,0.9469194312796209,0.9844122023809524,0.9915881983678593,0.9269681742043553,0.9894876158063907,0.9934656488549619,0.9375830013280213,0.9704521556256572,0.9817543859649124,0.9366876310272537,0.988337684943429,0.9926878034847185,0.942046605876393,0.9662626262626263,0.9820615796519412,0.917695473251029,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
TPR,0.9898068669527897,0.9897674418604652,1.0,0.0,0.9898605830164765,1.0,0.0,0.9898866074164879,1.0,0.0,0.989247311827957,1.0,0.0,0.9899540757749713,1.0,0.0,0.9877049180327869,1.0,0.0,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
TNR,0.1388888888888889,0.13302752293577982,1.0,0.0,0.14485981308411214,1.0,0.0,0.17110266159695817,1.0,0.0,0.08875739644970414,1.0,0.0,0.15028901734104047,1.0,0.0,0.09302325581395349,1.0,0.0,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
PPV,0.9084194977843427,0.918429003021148,1.0,0.0,0.8951289398280803,1.0,0.0,0.9367749419953596,1.0,0.0,0.749185667752443,1.0,0.0,0.9214533796419984,1.0,0.0,0.7554858934169278,1.0,0.0,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
FNR,0.0101931330472103,0.010232558139534883,0.0,1.0,0.010139416983523447,0.0,1.0,0.010113392583512106,0.0,1.0,0.010752688172043012,0.0,1.0,0.010045924225028703,0.0,1.0,0.012295081967213115,0.0,1.0,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
FPR,0.8611111111111112,0.8669724770642202,0.0,1.0,0.8551401869158879,0.0,1.0,0.8288973384030418,0.0,1.0,0.9112426035502958,0.0,1.0,0.8497109826589595,0.0,1.0,0.9069767441860465,0.0,1.0,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
Accuracy,0.9014423076923077,0.9108952702702703,1.0,0.0,0.8889508928571429,1.0,0.0,0.9288145207033466,1.0,0.0,0.749211356466877,1.0,0.0,0.9140992167101828,1.0,0.0,0.7545454545454545,1.0,0.0,ExponentiatedGradientReduction,{'sensitive_attr_for_intervention': 'race_binary'}
