Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params,Virny_Random_State,Runtime_in_Mins
Jitter,0.044092817896389316,0.04128137065637064,0.035661796752126995,0.09784474537478521,0.04780794460641396,0.03763995270652305,0.12695878351340528,0.038878534964751646,0.03696860617912118,0.06401442504712723,0.07309212644048162,0.0332078121571209,0.1828329911846389,0.03996845526722431,0.03595220592525173,0.08228423899680336,0.09196042053184907,0.04437269989963194,0.22697674418604719,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
Label_Stability,0.9499134615384616,0.9538006756756756,0.9622841225626741,0.8684112149532712,0.9447767857142857,0.958513853904282,0.837843137254902,0.958094157685763,0.9612084223375038,0.9171084337349398,0.9044164037854889,0.956989247311828,0.7597633136094675,0.9559895561357704,0.9620240137221269,0.8924096385542167,0.8793939393939395,0.9414754098360656,0.7032558139534885,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
TPR,0.9949034334763949,0.9948837209302326,1.0,0.0,0.9949302915082383,1.0,0.0,0.9941771376034324,1.0,0.0,1.0,1.0,,0.9945464982778416,1.0,0.0,1.0,1.0,,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
TNR,0.0763888888888889,0.06880733944954129,1.0,0.0,0.08411214953271028,1.0,0.0,0.12547528517110265,1.0,0.0,0.0,,0.0,0.0953757225433526,1.0,0.0,0.0,,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
PPV,0.9028724440116845,0.9133219470538002,1.0,0.0,0.8890147225368064,1.0,0.0,0.9337938975244675,1.0,0.0,0.7334384858044164,1.0,0.0,0.91715193223928,1.0,0.0,0.7393939393939394,1.0,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
FNR,0.00509656652360515,0.0051162790697674414,0.0,1.0,0.005069708491761723,0.0,1.0,0.0058228623965675755,0.0,1.0,0.0,0.0,,0.0054535017221584384,0.0,1.0,0.0,0.0,,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
FPR,0.9236111111111112,0.9311926605504587,0.0,1.0,0.9158878504672897,0.0,1.0,0.8745247148288974,0.0,1.0,1.0,,1.0,0.9046242774566474,0.0,1.0,1.0,,1.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
Accuracy,0.8995192307692308,0.9096283783783784,1.0,0.0,0.8861607142857143,1.0,0.0,0.9293817356778219,1.0,0.0,0.7334384858044164,1.0,0.0,0.9133159268929504,1.0,0.0,0.7393939393939394,1.0,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
F1,0.9466564573762124,0.9523597506678539,1.0,0.0,0.9389952153110048,1.0,0.0,0.9630399287516699,1.0,0.0,0.8462238398544131,1.0,0.0,0.9542825667860093,1.0,0.0,0.8501742160278746,1.0,0.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
Selection-Rate,0.9875,0.9890202702702703,0.9930362116991643,0.9485981308411215,0.9854910714285714,0.9886649874055415,0.9607843137254902,0.9852524106636416,0.9899298138541349,0.9236947791164659,1.0,1.0,1.0,0.9864229765013055,0.9905660377358491,0.9427710843373494,1.0,1.0,1.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
Sample_Size,4160.0,2368.0,2154.0,214.0,1792.0,1588.0,204.0,3526.0,3277.0,249.0,634.0,465.0,169.0,3830.0,3498.0,332.0,330.0,244.0,86.0,LogisticRegression,"{'C': 100, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.27380075000000004
