Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5332194161946459,0.569185985900772,0.5240782690246805,0.6031382146602181,0.4851921265138216,0.626307950097562,0.47735608077210523,102,LogisticRegression,Run_1
Std,0.020338420036257656,0.018575915884687044,0.02078637239782074,0.018466883435264987,0.021623980321284573,0.017754390042718143,0.02215078335818045,102,LogisticRegression,Run_1
IQR,0.02713371899634759,0.025327921538010504,0.02759267464490358,0.024853168581664448,0.028700231262024516,0.02452992690113078,0.029304564235039233,102,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,LogisticRegression,Run_1
Jitter,0.04232452071737782,0.044833110814419215,0.041686945562072815,0.03766872330327477,0.045522592423550855,0.05236033807462472,0.04713606773433368,102,LogisticRegression,Run_1
Per_Sample_Accuracy,0.6653977272727274,0.6621495327102803,0.6662232779097388,0.6672558139534884,0.6641214057507987,0.6703030303030303,0.6661448140900196,102,LogisticRegression,Run_1
Label_Stability,0.9414772727272728,0.9392523364485982,0.9420427553444181,0.948093023255814,0.9369329073482427,0.9248484848484849,0.9336203522504892,102,LogisticRegression,Run_1
TPR,0.5831663326653307,0.5176470588235295,0.5966183574879227,0.38095238095238093,0.6858006042296072,0.34285714285714286,0.693950177935943,102,LogisticRegression,Run_1
TNR,0.748653500897666,0.7596899224806202,0.7453271028037384,0.8549618320610687,0.6542372881355932,0.859375,0.6521739130434783,102,LogisticRegression,Run_1
PPV,0.6751740139211136,0.5866666666666667,0.6938202247191011,0.6274509803921569,0.6899696048632219,0.5714285714285714,0.7090909090909091,102,LogisticRegression,Run_1
FNR,0.4168336673346693,0.4823529411764706,0.4033816425120773,0.6190476190476191,0.31419939577039274,0.6571428571428571,0.30604982206405695,102,LogisticRegression,Run_1
FPR,0.2513464991023339,0.24031007751937986,0.2546728971962617,0.1450381679389313,0.34576271186440677,0.140625,0.34782608695652173,102,LogisticRegression,Run_1
Accuracy,0.6704545454545454,0.6635514018691588,0.672209026128266,0.6697674418604651,0.670926517571885,0.6767676767676768,0.675146771037182,102,LogisticRegression,Run_1
F1,0.6258064516129033,0.55,0.6415584415584416,0.4740740740740741,0.6878787878787879,0.42857142857142855,0.7014388489208633,102,LogisticRegression,Run_1
Selection-Rate,0.4081439393939394,0.35046728971962615,0.42280285035629456,0.2372093023255814,0.5255591054313099,0.21212121212121213,0.538160469667319,102,LogisticRegression,Run_1
Positive-Rate,0.8637274549098196,0.8823529411764706,0.8599033816425121,0.6071428571428571,0.9939577039274925,0.6,0.9786476868327402,102,LogisticRegression,Run_1
Mean,0.5217994079987975,0.5760783292828273,0.5088030465645934,0.5766254877388276,0.4848721752103464,0.5959420851847648,0.46944226336510425,202,LogisticRegression,Run_2
Std,0.021089709003495643,0.019714118464795302,0.02141907575219854,0.01985320358111723,0.0219225375367933,0.019265058719019474,0.022301957082768543,202,LogisticRegression,Run_2
IQR,0.028854847348437435,0.027381185452896827,0.029207695971313355,0.027861260871954112,0.02952406169472177,0.02733808140243391,0.02996367591994196,202,LogisticRegression,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,LogisticRegression,Run_2
Jitter,0.04028293135435996,0.03907563025210101,0.040572003449267056,0.030234813925570207,0.047050680811151095,0.021284640171857928,0.0454781452811008,202,LogisticRegression,Run_2
Per_Sample_Accuracy,0.6498484848484849,0.6502941176470588,0.6497417840375586,0.6140705882352941,0.673946117274168,0.6288421052631579,0.6749808429118774,202,LogisticRegression,Run_2
Label_Stability,0.9440151515151515,0.9488235294117647,0.9428638497652583,0.9592470588235295,0.9337559429477021,0.9751578947368421,0.9354022988505748,202,LogisticRegression,Run_2
TPR,0.5996168582375478,0.4230769230769231,0.6306306306306306,0.41530054644808745,0.6991150442477876,0.37142857142857144,0.7331081081081081,202,LogisticRegression,Run_2
TNR,0.704119850187266,0.8095238095238095,0.6715686274509803,0.756198347107438,0.660958904109589,0.7833333333333333,0.6106194690265486,202,LogisticRegression,Run_2
PPV,0.6645435244161358,0.5789473684210527,0.6763285024154589,0.562962962962963,0.7053571428571429,0.5,0.7114754098360656,202,LogisticRegression,Run_2
FNR,0.4003831417624521,0.5769230769230769,0.36936936936936937,0.5846994535519126,0.3008849557522124,0.6285714285714286,0.2668918918918919,202,LogisticRegression,Run_2
FPR,0.2958801498127341,0.19047619047619047,0.3284313725490196,0.24380165289256198,0.339041095890411,0.21666666666666667,0.3893805309734513,202,LogisticRegression,Run_2
Accuracy,0.6524621212121212,0.6617647058823529,0.6502347417840375,0.6094117647058823,0.6814580031695721,0.631578947368421,0.6800766283524904,202,LogisticRegression,Run_2
F1,0.6304128902316214,0.4888888888888889,0.6526806526806527,0.4779874213836478,0.7022222222222222,0.4262295081967213,0.7221297836938436,202,LogisticRegression,Run_2
Selection-Rate,0.4460227272727273,0.27941176470588236,0.4859154929577465,0.3176470588235294,0.5324881141045958,0.2736842105263158,0.5842911877394636,202,LogisticRegression,Run_2
Positive-Rate,0.9022988505747126,0.7307692307692307,0.9324324324324325,0.7377049180327869,0.9911504424778761,0.7428571428571429,1.0304054054054055,202,LogisticRegression,Run_2
Mean,0.5253710604371173,0.5710020041686507,0.5157425126772525,0.590858886455703,0.48229508068548876,0.6059784121028678,0.47149770010849146,302,LogisticRegression,Run_3
Std,0.01914810788048375,0.018597303861873405,0.019264332581658404,0.0184941528800636,0.019578260384684753,0.017766777289715336,0.019627553948113913,302,LogisticRegression,Run_3
IQR,0.02628220760047808,0.025411839722144582,0.02646586320783285,0.025283881533115518,0.026938877337094897,0.023660137798734587,0.026943119085032132,302,LogisticRegression,Run_3
Entropy,0.07056676324888826,0.0,0.0683357931264942,0.0,0.0749518537476605,0.0,0.07073424522174754,302,LogisticRegression,Run_3
Jitter,0.04652056277056272,0.05462289263531494,0.04481089683579855,0.04302372022794797,0.04882068368948839,0.0426218487394964,0.04585691525680914,302,LogisticRegression,Run_3
Per_Sample_Accuracy,0.6477462121212121,0.6632608695652175,0.6444724770642202,0.66763723150358,0.6346624803767661,0.7425882352941177,0.6419330855018588,302,LogisticRegression,Run_3
Label_Stability,0.9346590909090909,0.9213043478260871,0.9374770642201835,0.9378520286396183,0.9325588697017267,0.9350588235294118,0.9368029739776952,302,LogisticRegression,Run_3
TPR,0.5979166666666667,0.4666666666666667,0.6166666666666667,0.39869281045751637,0.691131498470948,0.4583333333333333,0.718213058419244,302,LogisticRegression,Run_3
TNR,0.6996527777777778,0.7903225806451613,0.6747787610619469,0.8270676691729323,0.5903225806451613,0.8852459016393442,0.562753036437247,302,LogisticRegression,Run_3
PPV,0.6239130434782608,0.5185185185185185,0.6379310344827587,0.5700934579439252,0.6402266288951841,0.6111111111111112,0.6593059936908517,302,LogisticRegression,Run_3
FNR,0.40208333333333335,0.5333333333333333,0.38333333333333336,0.6013071895424836,0.308868501529052,0.5416666666666666,0.281786941580756,302,LogisticRegression,Run_3
FPR,0.3003472222222222,0.20967741935483872,0.3252212389380531,0.17293233082706766,0.4096774193548387,0.11475409836065574,0.43724696356275305,302,LogisticRegression,Run_3
Accuracy,0.6534090909090909,0.6847826086956522,0.6467889908256881,0.6706443914081146,0.6420722135007849,0.7647058823529411,0.6468401486988847,302,LogisticRegression,Run_3
F1,0.6106382978723405,0.49122807017543857,0.6271186440677966,0.46923076923076923,0.6647058823529411,0.5238095238095238,0.6875,302,LogisticRegression,Run_3
