Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5241947770118713,0.5527980327606201,0.5167108178138733,0.5778950452804565,0.48643139004707336,0.5581895709037781,0.4710480272769928,104,XGBClassifier,Run_1
Std,0.047595757991075516,0.05033710226416588,0.04687849059700966,0.046853791922330856,0.04811752960085869,0.053262725472450256,0.048133328557014465,104,XGBClassifier,Run_1
IQR,0.06250155367182963,0.06636331771334557,0.061491127954873846,0.0616150255391904,0.0631249831328469,0.07045431388542056,0.06311375673268163,104,XGBClassifier,Run_1
Entropy,0.1397734488589683,0.18459641857567274,0.12804557506212452,0.0,0.137454772623202,0.0,0.12741210728701233,104,XGBClassifier,Run_1
Jitter,0.0884322820037106,0.11979498648774578,0.08022626971935748,0.09178243774574042,0.08607636603028306,0.12644557823129246,0.07901613764217953,104,XGBClassifier,Run_1
Per_Sample_Accuracy,0.6903030303030303,0.7220091324200913,0.6820071684587813,0.6892201834862385,0.6910645161290322,0.7245833333333334,0.6839034205231389,104,XGBClassifier,Run_1
Label_Stability,0.883560606060606,0.8367123287671233,0.8958183990442055,0.8775229357798165,0.8878064516129033,0.8241666666666667,0.8980281690140846,104,XGBClassifier,Run_1
TPR,0.6465863453815262,0.5945945945945946,0.6556603773584906,0.5,0.7198795180722891,0.59375,0.7379310344827587,104,XGBClassifier,Run_1
TNR,0.7383512544802867,0.7793103448275862,0.7239709443099274,0.7925925925925926,0.6875,0.78125,0.6521739130434783,104,XGBClassifier,Run_1
PPV,0.688034188034188,0.5789473684210527,0.7091836734693877,0.5971223021582733,0.7264437689969605,0.5757575757575758,0.7482517482517482,104,XGBClassifier,Run_1
FNR,0.3534136546184739,0.40540540540540543,0.3443396226415094,0.5,0.28012048192771083,0.40625,0.2620689655172414,104,XGBClassifier,Run_1
FPR,0.2616487455197133,0.2206896551724138,0.27602905569007263,0.2074074074074074,0.3125,0.21875,0.34782608695652173,104,XGBClassifier,Run_1
Accuracy,0.6950757575757576,0.7168949771689498,0.6893667861409797,0.6811926605504587,0.7048387096774194,0.71875,0.7022132796780685,104,XGBClassifier,Run_1
F1,0.6666666666666666,0.5866666666666667,0.6813725490196079,0.5442622950819672,0.7231467473524962,0.5846153846153846,0.7430555555555556,104,XGBClassifier,Run_1
Selection-Rate,0.4431818181818182,0.3470319634703196,0.46833930704898447,0.31880733944954126,0.5306451612903226,0.34375,0.5754527162977867,104,XGBClassifier,Run_1
Positive-Rate,0.9397590361445783,1.027027027027027,0.9245283018867925,0.8373493975903614,0.9909638554216867,1.03125,0.9862068965517241,104,XGBClassifier,Run_1
Mean,0.5236281752586365,0.555209755897522,0.5166991949081421,0.5722819566726685,0.4911154806613922,0.5679062604904175,0.48107123374938965,204,XGBClassifier,Run_2
Std,0.04683560132980347,0.048594240099191666,0.04644976183772087,0.04563045874238014,0.04764094203710556,0.05215364694595337,0.048055414110422134,204,XGBClassifier,Run_2
IQR,0.06080645734839367,0.064017364461171,0.0601019858109483,0.060304805847769934,0.06114168418056404,0.07016453465049187,0.06162411733565474,204,XGBClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,XGBClassifier,Run_2
Jitter,0.09911332714904147,0.12532330827067664,0.0933628693971816,0.09827181936604366,0.09967566173388798,0.14943361614308437,0.09883995703544585,204,XGBClassifier,Run_2
Per_Sample_Accuracy,0.6713068181818181,0.7102105263157895,0.6627713625866051,0.6478486997635934,0.6869826224328595,0.6633707865168539,0.6747368421052632,204,XGBClassifier,Run_2
Label_Stability,0.855189393939394,0.8157894736842105,0.8638337182448036,0.8573995271867612,0.8537124802527648,0.7824719101123595,0.8553383458646617,204,XGBClassifier,Run_2
TPR,0.630648330058939,0.5692307692307692,0.6396396396396397,0.4523809523809524,0.718475073313783,0.4444444444444444,0.717948717948718,204,XGBClassifier,Run_2
TNR,0.7221206581352834,0.776,0.7061611374407583,0.7568627450980392,0.6917808219178082,0.7735849056603774,0.6636363636363637,204,XGBClassifier,Run_2
PPV,0.678646934460888,0.5692307692307692,0.696078431372549,0.5507246376811594,0.7313432835820896,0.5714285714285714,0.7516778523489933,204,XGBClassifier,Run_2
FNR,0.3693516699410609,0.4307692307692308,0.36036036036036034,0.5476190476190477,0.28152492668621704,0.5555555555555556,0.28205128205128205,204,XGBClassifier,Run_2
FPR,0.27787934186471663,0.224,0.2938388625592417,0.24313725490196078,0.3082191780821918,0.22641509433962265,0.33636363636363636,204,XGBClassifier,Run_2
Accuracy,0.678030303030303,0.7052631578947368,0.6720554272517321,0.6359338061465721,0.7061611374407583,0.6404494382022472,0.6954887218045113,204,XGBClassifier,Run_2
F1,0.6537678207739308,0.5692307692307692,0.6666666666666666,0.49673202614379086,0.7248520710059172,0.5,0.7344262295081967,204,XGBClassifier,Run_2
Selection-Rate,0.4479166666666667,0.34210526315789475,0.47113163972286376,0.3262411347517731,0.5292259083728278,0.3146067415730337,0.5601503759398496,204,XGBClassifier,Run_2
Positive-Rate,0.9292730844793713,1.0,0.918918918918919,0.8214285714285714,0.9824046920821115,0.7777777777777778,0.9551282051282052,204,XGBClassifier,Run_2
Mean,0.5256785154342651,0.5710126161575317,0.5144253969192505,0.5840843915939331,0.49035096168518066,0.6188927292823792,0.4795924723148346,304,XGBClassifier,Run_3
Std,0.045926839113235474,0.045801762491464615,0.045957885682582855,0.04332948848605156,0.04749787226319313,0.04492352157831192,0.047745004296302795,304,XGBClassifier,Run_3
IQR,0.060236302190319155,0.05996017519916807,0.060304844351243184,0.057013952664693994,0.06218538290642677,0.05968489986041497,0.0626522083148778,304,XGBClassifier,Run_3
Entropy,0.13753205459954654,0.14875835676594656,0.0,0.1323674987053383,0.0,0.15472926346279273,0.13976406761273033,304,XGBClassifier,Run_3
Jitter,0.09157622139764997,0.09967735665694898,0.08956530129782404,0.08841144498000213,0.09349047825817264,0.10467745718977187,0.09288117489986646,304,XGBClassifier,Run_3
Per_Sample_Accuracy,0.6658901515151515,0.7017142857142857,0.6569976359338062,0.6404522613065327,0.6812765957446809,0.7006896551724138,0.6764112149532711,304,XGBClassifier,Run_3
Label_Stability,0.8645075757575759,0.8544761904761906,0.8669976359338062,0.8720603015075378,0.8599392097264437,0.8501149425287358,0.8604859813084113,304,XGBClassifier,Run_3
TPR,0.6186612576064908,0.45454545454545453,0.6440281030444965,0.42207792207792205,0.7079646017699115,0.32142857142857145,0.7275747508305648,304,XGBClassifier,Run_3
TNR,0.7229129662522202,0.7986111111111112,0.6968973747016707,0.7745901639344263,0.6833855799373041,0.847457627118644,0.6538461538461539,304,XGBClassifier,Run_3
PPV,0.6616052060737527,0.5084745762711864,0.6840796019900498,0.5416666666666666,0.7038123167155426,0.5,0.73,304,XGBClassifier,Run_3
FNR,0.3813387423935091,0.5454545454545454,0.3559718969555035,0.577922077922078,0.2920353982300885,0.6785714285714286,0.2724252491694352,304,XGBClassifier,Run_3
FPR,0.27708703374777977,0.2013888888888889,0.3031026252983294,0.22540983606557377,0.3166144200626959,0.15254237288135594,0.34615384615384615,304,XGBClassifier,Run_3
Accuracy,0.6742424242424242,0.6904761904761905,0.6702127659574468,0.6381909547738693,0.6960486322188449,0.6781609195402298,0.6953271028037383,304,XGBClassifier,Run_3
F1,0.639412997903564,0.48,0.6634499396863691,0.4744525547445255,0.7058823529411765,0.391304347826087,0.7287853577371048,304,XGBClassifier,Run_3
Selection-Rate,0.4365530303030303,0.28095238095238095,0.475177304964539,0.3015075376884422,0.5182370820668692,0.20689655172413793,0.5607476635514018,304,XGBClassifier,Run_3
Positive-Rate,0.9350912778904665,0.8939393939393939,0.9414519906323185,0.7792207792207793,1.0058997050147493,0.6428571428571429,0.9966777408637874,304,XGBClassifier,Run_3
Mean,0.5239191055297852,0.5749104022979736,0.511784017086029,0.583356499671936,0.4816289246082306,0.6169335246086121,0.471958190202713,404,XGBClassifier,Run_4
Std,0.04724324867129326,0.04835209622979164,0.04697936028242111,0.045778512954711914,0.04828541353344917,0.04976785555481911,0.04855457693338394,404,XGBClassifier,Run_4
IQR,0.062330513543477566,0.0636902435366156,0.06200692012189841,0.06103035566611279,0.06325558535573549,0.06645967919849655,0.06372325664216821,404,XGBClassifier,Run_4
Entropy,0.13781213481793222,0.15176951459178264,0.0,0.1431787359013275,0.13399375900657,0.15875089636360554,0.0,404,XGBClassifier,Run_4
Jitter,0.08795377241805812,0.09924198250728848,0.0852673636863885,0.09264283389893528,0.08461747097542434,0.10429165841093767,0.08279477361544234,404,XGBClassifier,Run_4
Per_Sample_Accuracy,0.6654734848484849,0.6663054187192118,0.6652754982415006,0.6736674259681094,0.6596434359805511,0.6763106796116505,0.660348162475822,404,XGBClassifier,Run_4
Label_Stability,0.8810227272727272,0.8630541871921181,0.8852989449003518,0.8717995444191344,0.8875850891410049,0.855145631067961,0.8907543520309479,404,XGBClassifier,Run_4
TPR,0.6079207920792079,0.4050632911392405,0.6455399061032864,0.4375,0.6990881458966566,0.2631578947368421,0.7222222222222222,404,XGBClassifier,Run_4
TNR,0.7313974591651543,0.8064516129032258,0.7096018735362998,0.8326996197718631,0.6388888888888888,0.8769230769230769,0.6157205240174672,404,XGBClassifier,Run_4
PPV,0.6747252747252748,0.5714285714285714,0.6892230576441103,0.6363636363636364,0.688622754491018,0.5555555555555556,0.7027027027027027,404,XGBClassifier,Run_4
FNR,0.3920792079207921,0.5949367088607594,0.3544600938967136,0.5625,0.3009118541033435,0.7368421052631579,0.2777777777777778,404,XGBClassifier,Run_4
FPR,0.26860254083484575,0.1935483870967742,0.2903981264637002,0.16730038022813687,0.3611111111111111,0.12307692307692308,0.38427947598253276,404,XGBClassifier,Run_4
Accuracy,0.6723484848484849,0.6502463054187192,0.6776084407971864,0.6742596810933941,0.6709886547811994,0.6504854368932039,0.6750483558994197,404,XGBClassifier,Run_4
F1,0.6395833333333333,0.4740740740740741,0.6666666666666666,0.5185185185185185,0.693815987933635,0.35714285714285715,0.7123287671232876,404,XGBClassifier,Run_4
Selection-Rate,0.4308712121212121,0.27586206896551724,0.46776084407971863,0.275626423690205,0.5413290113452188,0.17475728155339806,0.5725338491295938,404,XGBClassifier,Run_4
