Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Name,Model_Params
Mean_Prediction,0.521994513518201,0.5778445210217081,0.6015744173161954,0.5257106579504858,0.5080485353131833,0.5119615719476153,0.4989437925929106,0.5851352121799474,0.6100626986245606,0.5300628584069645,0.4812776143811871,0.47877984572924426,0.48717548695724044,0.5763192155240358,0.5980138907495032,0.5257898453786429,0.4680798092633539,0.46121866232628195,0.48366562452781336,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
Std,0.07225302000705694,0.07555653912669155,0.06890223899793313,0.09017583486411533,0.0714281175996689,0.06843757766644247,0.07838642114508942,0.0718422728492333,0.0647276292647032,0.08756067146621838,0.07251789434247592,0.07093139404684565,0.07626402854838828,0.07266140353828388,0.06629363624482994,0.08749265900658164,0.07184771861568831,0.0707646057539956,0.07430812314101498,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
Overall_Uncertainty,0.8877630638614109,0.8964464482585999,0.8757689851637226,0.9418742080882544,0.885594786810752,0.8748787437378722,0.9105285720708773,0.8780020253499919,0.8601691972567261,0.9174001339281369,0.8940575653313914,0.884460352948238,0.916719045880094,0.8851612240913236,0.8687384596608471,0.9234117133977505,0.8903452671049314,0.8813698022897571,0.9107339773023646,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
Aleatoric_Uncertainty,0.8607199637290075,0.8662076098486686,0.8505502682099212,0.9006063149640985,0.859349675763033,0.851387536745981,0.8778757551294802,0.8507878618735257,0.8381654462236885,0.878674594123166,0.8671247770750659,0.859473771471313,0.8851907641289533,0.8570064883388119,0.8456391062065092,0.883482416343162,0.8644054128898432,0.8568060652807553,0.8816681284462895,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
IQR,0.08232345085921644,0.08450556292405172,0.07459372007710123,0.10628158129992776,0.08177856843829308,0.07903731297043665,0.08815684395602207,0.08386447468653214,0.07477733086176015,0.10394072267149346,0.08132970652197549,0.08030066980289598,0.0837595262094355,0.08306171257869413,0.07490409456982083,0.10206173427024715,0.08159076092630087,0.08141965917123277,0.08197943651806044,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
Statistical_Bias,0.4165852083007168,0.41129542920146217,0.3200422746360171,0.6117758445346368,0.4179060880521283,0.31824767808282256,0.6497884514059069,0.41063452549906415,0.30612112978941824,0.6415362136947935,0.42042256449991344,0.32648777290285236,0.6422267059149634,0.4097465223829338,0.3130028625493114,0.6350735275650415,0.42337228149459216,0.3241996036712609,0.6486534261796901,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
Epistemic_Uncertainty,0.027043100132403408,0.030238838409931246,0.0252187169538014,0.04126789312415591,0.026245111047718983,0.023491206991891223,0.0326528169413971,0.027214163476466213,0.022003751033037644,0.038725539804970954,0.0269327882563255,0.024986581476925007,0.03152828175114075,0.028154735752511706,0.02309935345433789,0.039929297054588475,0.025939854215088265,0.02456373700900183,0.029065848856075105,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
Jitter,0.1103795609152753,0.1307167037431088,0.09942294159042905,0.19946815089672232,0.10530129211447888,0.09098932974204922,0.13860196046922713,0.10708666075125702,0.0782327246688148,0.17083372884037298,0.1125030198995486,0.10176207068193155,0.13786515653381762,0.11052378365794986,0.08473602484472065,0.17058641177990216,0.11023642664613015,0.10056566104702741,0.1322045855379189,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
Label_Stability,0.8595075757575757,0.8254028436018959,0.8714482758620691,0.7242424242424244,0.8680236686390532,0.8883248730964467,0.8207874015748032,0.8596135265700483,0.903298245614035,0.7631007751937985,0.8594392523364486,0.8734368070953438,0.826387434554974,0.8561216730038023,0.8944565217391304,0.7668354430379747,0.862867924528302,0.8755434782608696,0.8340740740740741,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
TPR,0.6518046709129511,0.4666666666666667,1.0,0.0,0.6868686868686869,1.0,0.0,0.5102040816326531,1.0,0.0,0.7160493827160493,1.0,0.0,0.5372340425531915,1.0,0.0,0.7279151943462897,1.0,0.0,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 0.6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}"
