Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Name,Model_Params,Virny_Random_State,Runtime_in_Mins
Statistical_Bias,0.43621008148181434,0.43563898885921815,0.3619012343771332,0.6012653296959014,0.436352685675149,0.3538639842723281,0.6139496286207745,0.43566568256511223,0.3527975981221013,0.6146860481939068,0.436561142465482,0.3572167701719094,0.6093904682534622,0.4346209709642395,0.3575838435417682,0.609270359220153,0.437787198712464,0.35334915154036145,0.6135361573613752,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
Overall_Uncertainty,0.9149482865790671,0.9230013147345276,0.9109979367741318,0.9499627483071089,0.9129374120929108,0.9038342614256254,0.9325363596116564,0.9200703394958863,0.9115856897479685,0.938399773684136,0.9116452804925202,0.9012257213930316,0.9343413498181395,0.9222896295418929,0.9134207241083895,0.9423961542824444,0.907662349978225,0.8969818528269463,0.9298926870721657,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
Aleatoric_Uncertainty,0.9123450427125207,0.9206250776414039,0.9087794673951712,0.9472321406560185,0.910277483694776,0.9011401638416987,0.929949996960543,0.9177452762926515,0.909632087577234,0.9352722412274845,0.908862649095427,0.8982131727090862,0.9320595283528033,0.9198895585007832,0.911255981277903,0.9394625751861952,0.9048574666660564,0.8939420212567616,0.9275768239714491,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
IQR,0.027083150256958236,0.026423801299133746,0.025509365667365166,0.02847776441049088,0.0272477924227582,0.027342240969263954,0.02704444611181111,0.026700267862109456,0.025062176258907096,0.030239045905668765,0.02733005572653362,0.02820055578506797,0.025433916985171657,0.02698261430915703,0.025844850916712608,0.029562015788922324,0.027182927442889252,0.028121424139945568,0.025229544782737152,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
Std,0.02159601509099498,0.02160183879099128,0.020988968179904716,0.022978440471278012,0.021594560888984066,0.021467455990035054,0.021868215839333252,0.02164960109403705,0.020406011260539973,0.0243361348564773,0.02156145963108934,0.02199138698587159,0.02062498420483097,0.021757533210174453,0.020903418727786727,0.023693879707513094,0.02143571597648855,0.021847384427022786,0.020578871178283574,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
Mean_Prediction,0.5199450050553762,0.5662002368694692,0.5791607442233473,0.5370889434284506,0.5083948820816797,0.5075953424932972,0.5101162788820406,0.5841004238468989,0.5998844709860928,0.5500020624698616,0.4785737536851421,0.47198335451403844,0.4929290786122985,0.5724779023960664,0.5859827789164238,0.5418612568685485,0.46780858241159695,0.45686108092387306,0.49059466108953403,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
Epistemic_Uncertainty,0.002603243866546423,0.002376237093123734,0.0022184693789605303,0.0027306076510904553,0.002659928398134781,0.002694097583926691,0.0025863626511133386,0.0023250632032348895,0.001953602170734481,0.0031275324566514273,0.002782631397093227,0.003012548683945404,0.0022818214653362867,0.0024000710411096193,0.00216474283048651,0.0029335790962491393,0.00280488331216866,0.0030398315701847256,0.00231586310071652,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
Jitter,0.04003014842300559,0.055196827546184365,0.051831143416269966,0.06275667189952994,0.03624296582538342,0.029285891132883036,0.051221443801401124,0.038483683328403726,0.03145309006995044,0.05367191151269655,0.041027401614851536,0.035372912801484156,0.05334410992119606,0.043431364941414086,0.03713055633212185,0.05771580681962229,0.036654601463226855,0.030482271120738615,0.049501661129567824,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
Label_Stability,0.9483712121212121,0.9273933649289099,0.9320547945205478,0.9169230769230768,0.9536094674556213,0.9621490467937608,0.935223880597015,0.9502415458937198,0.9601413427561838,0.9288549618320611,0.947165109034268,0.9534545454545454,0.9334653465346535,0.9436501901140685,0.9524383561643835,0.9237267080745342,0.9530566037735849,0.9597765363128492,0.9390697674418605,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
TPR,0.6263269639065817,0.48,1.0,0.0,0.6540404040404041,1.0,0.0,0.4421768707482993,1.0,0.0,0.7098765432098766,1.0,0.0,0.48404255319148937,1.0,0.0,0.7208480565371025,1.0,0.0,LogisticRegression,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",42,0.07079771666666666
