Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params,Virny_Random_State,Runtime_in_Mins
Label_Stability,0.942375,0.9504054054054052,0.9667717996289426,0.7839622641509434,0.9317633928571428,0.9555917345021916,0.7366153846153846,0.9653431650595576,0.9759975520195839,0.8303875968992248,0.8146372239747635,0.8677938144329896,0.6416107382550336,0.9558015665796346,0.9703661327231122,0.8033532934131739,0.7865454545454545,0.8484046692607004,0.5687671232876713,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
Jitter,0.04161872056514914,0.03709390512961949,0.026312142667827786,0.14674239507123507,0.04759794096209916,0.03259836683577624,0.17044060701203614,0.02734462361234907,0.02044887967426869,0.11469071349470057,0.12100431339728324,0.0865188302124982,0.23325571839473955,0.03354654446635049,0.023921916592724024,0.13428815837712302,0.1353048855906002,0.09788930358135567,0.26702823595191355,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
TPR,0.9906115879828327,0.9916279069767442,1.0,0.0,0.9892268694550064,1.0,0.0,0.9932577382776586,1.0,0.0,0.9720430107526882,1.0,0.0,0.9922502870264064,1.0,0.0,0.9672131147540983,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
TNR,0.1388888888888889,0.11009174311926606,1.0,0.0,0.16822429906542055,1.0,0.0,0.10266159695817491,1.0,0.0,0.1952662721893491,1.0,0.0,0.11271676300578035,1.0,0.0,0.2441860465116279,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
PPV,0.9084870848708487,0.9165950128976784,1.0,0.0,0.8976423231742381,1.0,0.0,0.9321253954558527,1.0,0.0,0.7687074829931972,1.0,0.0,0.9184378320935175,1.0,0.0,0.7840531561461794,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
FNR,0.009388412017167383,0.008372093023255815,0.0,1.0,0.010773130544993664,0.0,1.0,0.006742261722341404,0.0,1.0,0.02795698924731183,0.0,1.0,0.007749712973593571,0.0,1.0,0.03278688524590164,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
FPR,0.8611111111111112,0.8899082568807339,0.0,1.0,0.8317757009345794,0.0,1.0,0.8973384030418251,0.0,1.0,0.8047337278106509,0.0,1.0,0.8872832369942196,0.0,1.0,0.7558139534883721,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
Accuracy,0.9021634615384615,0.910472972972973,1.0,0.0,0.8911830357142857,1.0,0.0,0.926829268292683,1.0,0.0,0.7649842271293376,1.0,0.0,0.9127937336814621,1.0,0.0,0.7787878787878788,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
F1,0.9477736430129603,0.9526362823949955,1.0,0.0,0.9412119384986434,1.0,0.0,0.9617210682492582,1.0,0.0,0.8584995251661919,1.0,0.0,0.9539183222958058,1.0,0.0,0.8660550458715597,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
Selection-Rate,0.9771634615384616,0.9822635135135135,0.9888682745825603,0.9150943396226415,0.9704241071428571,0.9774577332498434,0.9128205128205128,0.9861032331253545,0.9917380660954712,0.9147286821705426,0.9274447949526814,0.931958762886598,0.912751677852349,0.9827676240208877,0.9888443935926774,0.9191616766467066,0.9121212121212121,0.9182879377431906,0.8904109589041096,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
Sample_Size,4160.0,2368.0,2156.0,212.0,1792.0,1597.0,195.0,3526.0,3268.0,258.0,634.0,485.0,149.0,3830.0,3496.0,334.0,330.0,257.0,73.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7223406
