decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,tier,race,pass_bar
10.0,10.0,44.0,3.5,1.33,1.88,1.0,5.0,0.0,4.0,White,1.0
5.0,4.0,29.0,3.5,-0.11,-0.57,1.0,4.0,0.0,2.0,White,1.0
8.0,7.0,37.0,3.4,0.63,0.37,1.0,3.0,1.0,4.0,White,1.0
8.0,7.0,43.0,3.3,0.67,0.34,1.0,4.0,0.0,4.0,White,1.0
3.0,2.0,41.0,3.3,-0.67,-1.3,1.0,4.0,0.0,5.0,White,1.0
1.0,1.0,24.5,2.2,-1.73,-1.34,1.0,4.0,1.0,3.0,White,0.0
4.0,4.0,34.0,3.3,-0.32,-0.38,1.0,4.0,0.0,3.0,White,0.0
2.0,3.0,35.0,3.2,-0.92,-0.72,1.0,4.0,1.0,2.0,White,0.0
5.0,5.0,40.0,2.4,-0.05,-0.03,1.0,3.0,0.0,4.0,White,0.0
8.0,9.0,35.0,2.9,0.73,0.94,1.0,3.0,0.0,4.0,White,1.0
3.0,1.0,28.0,2.4,-0.59,-1.49,1.0,3.0,0.0,3.0,White,1.0
2.0,3.0,32.5,3.2,-0.76,-0.56,1.0,4.0,0.0,5.0,White,1.0
9.0,9.0,32.5,2.4,1.04,1.09,1.0,3.0,1.0,1.0,White,1.0
7.0,8.0,23.0,2.8,0.56,0.87,1.0,3.0,0.0,1.0,Non-White,1.0
4.0,3.0,37.0,2.8,-0.23,-0.72,1.0,3.0,0.0,3.0,White,1.0
9.0,9.0,41.0,3.9,1.08,0.88,1.0,3.0,0.0,6.0,White,1.0
3.0,4.0,40.0,2.8,-0.69,-0.45,1.0,4.0,0.0,6.0,Non-White,1.0
8.0,7.0,30.0,3.3,0.58,0.53,1.0,4.0,0.0,3.0,White,1.0
8.0,7.0,40.0,3.7,0.67,0.4,1.0,4.0,1.0,4.0,White,1.0
1.0,2.0,22.0,2.7,-1.8,-1.13,1.0,4.0,1.0,3.0,White,1.0
10.0,9.0,48.0,3.7,1.94,0.98,1.0,4.0,0.0,5.0,White,1.0
3.0,2.0,36.0,2.9,-0.53,-1.05,1.0,4.0,0.0,3.0,White,0.0
3.0,2.0,36.0,3.1,-0.67,-0.9,1.0,3.0,0.0,4.0,Non-White,1.0
3.0,2.0,36.0,3.5,-0.64,-1.12,1.0,1.0,1.0,3.0,White,1.0
8.0,5.0,45.0,3.0,0.64,-0.1,1.0,3.0,1.0,4.0,White,1.0
10.0,10.0,35.0,2.6,2.4,3.22,1.0,3.0,1.0,1.0,White,1.0
3.0,1.0,36.0,3.4,-0.6,-1.63,1.0,2.0,1.0,5.0,White,1.0
9.0,8.0,46.0,3.8,1.27,0.87,1.0,4.0,0.0,4.0,White,1.0
9.0,8.0,39.0,3.1,1.02,0.73,2.0,3.0,1.0,5.0,White,1.0
4.0,5.0,39.0,2.7,-0.39,-0.07,1.0,3.0,0.0,3.0,White,1.0
10.0,10.0,39.0,4.0,2.88,2.87,1.0,3.0,0.0,5.0,White,1.0
6.0,7.0,38.0,3.0,0.14,0.53,1.0,3.0,0.0,3.0,White,1.0
10.0,10.0,32.0,4.0,1.68,1.33,1.0,3.0,1.0,4.0,White,1.0
7.0,4.0,39.0,3.5,0.34,-0.49,1.0,4.0,1.0,3.0,White,1.0
2.0,1.0,29.0,2.5,-1.08,-1.46,1.0,3.0,1.0,5.0,Non-White,1.0
9.0,8.0,48.0,3.5,1.02,0.76,1.0,4.0,1.0,5.0,White,1.0
1.0,2.0,27.0,2.5,-1.4,-1.08,1.0,3.0,0.0,3.0,Non-White,1.0
2.0,1.0,31.0,2.6,-1.04,-1.49,1.0,4.0,1.0,4.0,Non-White,1.0
10.0,10.0,45.0,3.7,1.51,1.69,1.0,3.0,0.0,4.0,White,1.0
4.0,5.0,36.0,3.9,-0.45,-0.04,1.0,4.0,1.0,6.0,White,1.0
2.0,2.0,34.0,2.5,-1.14,-0.93,1.0,4.0,1.0,4.0,Non-White,0.0
6.0,2.0,35.0,3.8,0.27,-0.98,1.0,3.0,1.0,4.0,White,1.0
3.0,4.0,35.0,3.1,-0.67,-0.28,1.0,3.0,1.0,5.0,Non-White,1.0
1.0,1.0,36.0,3.9,-1.5,-2.18,1.0,4.0,1.0,6.0,White,1.0
2.0,2.0,42.0,3.3,-1.06,-1.13,1.0,3.0,1.0,4.0,White,1.0
10.0,10.0,30.0,3.7,1.66,1.52,1.0,3.0,0.0,4.0,White,1.0
8.0,10.0,25.0,3.7,0.6,1.72,1.0,3.0,0.0,5.0,White,1.0
4.0,2.0,31.5,3.6,-0.37,-1.04,1.0,3.0,0.0,5.0,White,1.0
8.0,8.0,40.0,3.2,0.82,0.72,1.0,5.0,1.0,4.0,White,1.0
3.0,5.0,40.0,3.5,-0.64,-0.12,1.0,4.0,0.0,3.0,White,1.0
7.0,7.0,41.0,3.7,0.44,0.53,1.0,3.0,0.0,4.0,White,1.0
9.0,7.0,34.0,3.5,0.96,0.45,1.0,3.0,0.0,3.0,White,1.0
7.0,6.0,39.0,3.4,0.45,0.22,1.0,4.0,1.0,4.0,White,1.0
4.0,4.0,38.0,3.0,-0.45,-0.27,1.0,5.0,0.0,5.0,Non-White,1.0
5.0,5.0,41.0,3.2,-0.16,-0.19,1.0,5.0,1.0,6.0,White,0.0
7.0,6.0,31.0,3.3,0.55,0.08,1.0,4.0,0.0,2.0,Non-White,1.0
5.0,4.0,42.0,3.6,-0.03,-0.28,1.0,3.0,0.0,6.0,White,1.0
6.0,8.0,34.0,3.2,0.16,0.63,1.0,4.0,0.0,3.0,White,1.0
5.0,5.0,37.0,3.0,-0.11,-0.23,1.0,3.0,1.0,3.0,White,1.0
